  Epoch    Dlat    DLon    DHoriz  Dheight 
  495694   0.003  -0.299   0.299  -0.055  
  495695   0.027  -0.297   0.298  -0.021  
  495696   0.053  -0.298   0.303  -0.028  
  495697   0.080  -0.307   0.317  -0.033  
  495698   0.104  -0.307   0.324  -0.020  
  495699   0.117  -0.312   0.334  -0.015  
  495700   0.129  -0.320   0.345  -0.015  
  495701   0.150  -0.338   0.370  -0.044  
  495702   0.176  -0.364   0.404  -0.073  
  495703   0.197  -0.376   0.425  -0.098  
  495704   0.217  -0.387   0.444  -0.117  
  495705   0.234  -0.395   0.459  -0.145  
  495706   0.251  -0.394   0.467  -0.151  
  495707   0.268  -0.385   0.469  -0.169  
  495708   0.277  -0.386   0.475  -0.160  
  495709   0.296  -0.386   0.487  -0.169  
  495710   0.316  -0.388   0.501  -0.166  
  495711   0.334  -0.388   0.512  -0.156  
  495712   0.355  -0.384   0.523  -0.160  
  495713   0.360  -0.382   0.525  -0.157  
  495714   0.376  -0.379   0.533  -0.168  
  495715   0.388  -0.379   0.542  -0.191  
  495716   0.405  -0.384   0.558  -0.216  
  495717   0.423  -0.387   0.574  -0.239  
  495718   0.446  -0.386   0.590  -0.259  
  495719   0.465  -0.393   0.609  -0.290  
  495720   0.487  -0.393   0.625  -0.322  
  495721   0.499  -0.392   0.635  -0.344  
  495722   0.528  -0.401   0.663  -0.360  
  495723   0.588  -0.428   0.727  -0.392  
  495724   0.543  -0.378   0.662  -0.390  
  495725   0.537  -0.372   0.654  -0.408  
  495726   0.546  -0.362   0.655  -0.407  
  495727   0.521  -0.333   0.618  -0.443  
  495728   0.472  -0.284   0.551  -0.478  
  495729   0.476  -0.292   0.558  -0.503  
  495730   0.487  -0.303   0.574  -0.532  
  495731   0.549  -0.319   0.635  -0.616  
  495732   0.554  -0.294   0.627  -0.664  
  495733   0.537  -0.214   0.578  -0.702  
  495734   0.617  -0.241   0.662  -0.758  
  495735   0.656  -0.195   0.685  -0.813  
  495736   0.730  -0.186   0.753  -0.954  
  495737   0.851  -0.150   0.864  -1.141  
  495738   1.115  -0.054   1.116  -1.546  
  495739   0.931  -0.129   0.940  -1.272  
  495740   0.314  -0.367   0.483  -0.338  
  495741   0.372  -0.343   0.506  -0.453  
  495742   0.425  -0.317   0.530  -0.545  
  495743   0.478  -0.293   0.561  -0.641  
  495744   0.530  -0.262   0.591  -0.740  
  495745   0.611  -0.228   0.652  -0.883  
  495746   0.713  -0.186   0.737  -1.065  
