Epoch   v_north   v_east   v_up
  496043           0.021           0.000           0.015
  496044           0.011          -0.018          -0.044
  496045           0.012          -0.019          -0.050
  496046           0.003          -0.006          -0.023
  496047          -0.009           0.005          -0.007
  496048          -0.018           0.011          -0.002
  496049           0.005           0.012          -0.024
  496050           0.004           0.014           0.009
  496051          -0.003          -0.008          -0.042
  496052          -0.004           0.008           0.002
  496053          -0.011          -0.002          -0.003
  496054          -0.017          -0.007          -0.025
  496055          -0.008          -0.001          -0.025
  496056           0.006           0.010          -0.004
  496057          -0.007           0.009          -0.021
  496058           0.000           0.002          -0.014
  496059           0.007           0.008          -0.007
  496060           0.001          -0.008          -0.027
  496061          -0.003          -0.001          -0.014
  496062          -0.005           0.006          -0.016
  496063           0.008           0.000          -0.013
  496064          -0.008           0.000          -0.012
  496065          -0.010          -0.001           0.007
  496066          -0.016           0.007          -0.003
  496067          -0.007           0.003          -0.010
  496068          -0.007           0.016           0.011
  496069          -0.006           0.009           0.006
  496070           0.010          -0.001          -0.024
  496071          -0.004          -0.002           0.004
  496072           0.000           0.009           0.007
  496073          -0.007          -0.002          -0.029
  496074           0.000          -0.011          -0.039
  496075           0.008          -0.006          -0.006
  496076           0.011           0.004          -0.030
  496077          -0.003          -0.006          -0.021
  496078          -0.007           0.009          -0.006
  496079          -0.035           0.008           0.027
  496080           0.003           0.007          -0.022
  496081          -0.008           0.020           0.020
  496082          -0.002           0.009          -0.008
  496083          -0.013          -0.004          -0.006
  496084          -0.006          -0.003          -0.001
  496085           0.011          -0.011          -0.036
  496086          -0.012          -0.001          -0.024
  496087          -0.008           0.007          -0.019
  496088          -0.007          -0.001          -0.005
  496089           0.007          -0.001          -0.033
  496090           0.004          -0.004          -0.023
  496091          -0.003           0.001           0.009
  496092           0.020          -0.007          -0.040
  496093           0.022          -0.001          -0.023
  496094          -0.001           0.007          -0.007
  496095          -0.025          -0.007           0.001
  496096          -0.004          -0.011          -0.031
  496097           0.005           0.004          -0.010
  496098           0.007           0.007          -0.012
  496099           0.006           0.009           0.000
  496100          -0.004           0.006           0.005
  496101          -0.003           0.002          -0.017
  496102          -0.002          -0.009          -0.016
  496103          -0.001          -0.008          -0.020
  496104          -0.015          -0.002          -0.011
