Epoch   v_north   v_east   v_up
  496043          -0.020           0.003          -0.015
  496044          -0.011           0.016           0.047
  496045          -0.016           0.018           0.059
  496046           0.001           0.005           0.018
  496047           0.014          -0.006          -0.005
  496048           0.018          -0.005           0.009
  496049          -0.004          -0.010           0.028
  496050          -0.006          -0.015          -0.005
  496051          -0.002           0.004           0.033
  496052           0.006          -0.004           0.004
  496053           0.011          -0.001           0.004
  496054           0.022           0.005           0.011
  496055           0.008          -0.002           0.019
  496056          -0.006          -0.004           0.016
  496057           0.002          -0.009           0.019
  496058          -0.003          -0.002           0.017
  496059          -0.002          -0.005           0.013
  496060          -0.004           0.007           0.021
  496061           0.000           0.000           0.014
  496062           0.004          -0.004           0.010
  496063          -0.006          -0.002           0.015
  496064           0.007          -0.002           0.006
  496065           0.012           0.001           0.001
  496066           0.012          -0.004           0.008
  496067           0.006          -0.003           0.012
  496068           0.011          -0.016          -0.012
  496069           0.007          -0.007          -0.002
  496070          -0.008           0.000           0.022
  496071           0.000           0.001           0.003
  496072          -0.002          -0.007           0.001
  496073           0.009           0.003           0.029
  496074           0.003           0.007           0.022
  496075          -0.006           0.006           0.010
  496076          -0.010          -0.005           0.013
  496077           0.001           0.004           0.021
  496078           0.006          -0.009          -0.001
  496079           0.033          -0.002          -0.016
  496080           0.004          -0.006           0.022
  496081           0.001          -0.014           0.002
  496082           0.003          -0.008           0.002
  496083           0.007           0.001           0.002
  496084           0.007           0.002           0.002
  496085          -0.003           0.009           0.022
  496086           0.014           0.003           0.019
  496087           0.007          -0.009           0.012
  496088           0.007          -0.001           0.016
  496089          -0.001           0.005           0.026
  496090          -0.001           0.004           0.020
  496091           0.000          -0.001           0.000
  496092          -0.016           0.001           0.014
  496093          -0.022           0.005           0.030
  496094          -0.006          -0.001           0.023
  496095           0.016           0.005           0.012
  496096           0.003           0.002           0.019
  496097          -0.002           0.001           0.010
  496098          -0.002          -0.002           0.010
  496099          -0.008          -0.005           0.011
  496100           0.003          -0.005           0.005
  496101           0.007          -0.002           0.007
  496102           0.000           0.008           0.019
  496103           0.003           0.006           0.009
  496104           0.016           0.003           0.006
  496105           0.007          -0.012          -0.001
  496106          -0.001          -0.001           0.009
  496107          -0.010           0.005           0.021
  496108          -0.014          -0.001           0.005
  496109          -0.003           0.002           0.013
  496110           0.003           0.006           0.002
  496111           0.002           0.005           0.009
  496112          -0.006           0.000           0.003
  496113          -0.013          -0.003           0.006
  496114          -0.009          -0.001           0.020
  496115          -0.009           0.003           0.014
  496116          -0.010           0.002           0.018
  496117          -0.008           0.004           0.012
  496118          -0.009           0.016           0.023
  496119          -0.007           0.005           0.012
  496120          -0.002          -0.003           0.000
  496121          -0.001          -0.005           0.002
  496122          -0.002           0.002           0.008
  496123          -0.008           0.012           0.023
  496124          -0.001           0.002           0.011
  496125          -0.003          -0.002           0.002
  496126          -0.013          -0.004           0.016
  496127          -0.004           0.001           0.029
  496128          -0.001          -0.009           0.008
  496129          -0.007          -0.005           0.014
  496130           0.000          -0.004          -0.009
  496131          -0.007           0.010           0.021
  496132          -0.006           0.007           0.009
  496133          -0.003           0.002           0.010
  496134          -0.001          -0.009           0.002
  496135          -0.001          -0.010          -0.007
  496136          -0.002          -0.001           0.015
  496137          -0.004          -0.004          -0.003
  496138          -0.008          -0.001          -0.004
  496139           0.000          -0.006          -0.001
  496140          -0.008           0.002           0.015
  496141          -0.009           0.008           0.012
  496142          -0.003           0.004           0.008
  496143          -0.008           0.001           0.013
  496144           0.007           0.000           0.005
  496145           0.021           0.002          -0.008
  496146           0.003           0.002           0.006
  496147          -0.011           0.007           0.011
  496148          -0.019           0.005           0.011
  496149          -0.008          -0.005           0.003
  496150           0.001          -0.009          -0.003
  496151           0.003          -0.008          -0.005
  496152          -0.004          -0.001           0.005
  496153          -0.007           0.002           0.016
  496154           0.000          -0.006          -0.004
  496155          -0.004          -0.008          -0.002
  496156          -0.006          -0.004          -0.020
  496157          -0.008           0.000          -0.001
  496158          -0.009           0.000           0.011
  496159          -0.013          -0.001           0.000
  496160          -0.012          -0.002          -0.001
  496161          -0.011          -0.001          -0.010
  496162          -0.009          -0.004          -0.010
  496163          -0.004           0.018           0.031
  496164          -0.011          -0.012          -0.013
  496165          -0.007          -0.013          -0.017
  496166          -0.009           0.003          -0.006
  496167           0.001           0.002          -0.015
  496168           0.007           0.005           0.004
  496169          -0.003           0.006           0.019
  496170          -0.002           0.002           0.003
  496171           0.006          -0.010          -0.020
  496172          -0.002          -0.002           0.002
  496173          -0.016           0.002           0.007
