Epoch   v_north   v_east   v_up
  495704          -0.001           0.001           0.003
  495705          -0.008           0.000          -0.013
  495706           0.002           0.002           0.008
  495707          -0.000           0.002           0.007
  495708           0.001           0.004          -0.002
  495709           0.001           0.003           0.001
  495710           0.004          -0.001          -0.005
  495711           0.005           0.000          -0.009
  495712          -0.003          -0.003           0.004
  495713          -0.001          -0.003          -0.009
  495714          -0.002           0.005           0.011
  495715          -0.002          -0.003          -0.001
  495716           0.001           0.005           0.011
  495717           0.002           0.001           0.001
  495718          -0.002           0.002           0.007
  495719          -0.000           0.001           0.000
  495720           0.001           0.002          -0.000
  495721           0.003          -0.002          -0.001
  495722          -0.000           0.001          -0.002
  495723          -0.001          -0.000           0.005
  495724          -0.001          -0.001          -0.002
  495725           0.002           0.003           0.004
  495726          -0.003          -0.001           0.009
  495727          -0.002          -0.000           0.002
  495728           0.004          -0.003          -0.009
  495729           0.001           0.002           0.005
  495730           0.000           0.002          -0.001
  495731          -0.002           0.001          -0.005
  495732           0.002           0.001          -0.002
  495733          -0.005          -0.004           0.003
  495734           0.002           0.003          -0.002
  495735          -0.000          -0.001           0.001
  495736          -0.002           0.005           0.013
  495737          -0.005           0.003           0.016
  495738          -0.003          -0.003          -0.002
  495739           0.003          -0.001          -0.007
  495740           0.005           0.001          -0.005
  495741          -0.001          -0.005          -0.007
  495742           0.001          -0.001          -0.004
  495743          -0.003           0.003           0.009
  495744          -0.001          -0.003           0.002
  495745           0.001           0.001          -0.002
  495746          -0.002          -0.003           0.004
  495747          -0.002           0.002          -0.002
  495748           0.001           0.000           0.004
  495749          -0.000           0.003           0.006
  495750          -0.003           0.002           0.007
  495751          -0.001           0.001           0.012
  495752           0.000           0.001          -0.001
  495753           0.002           0.002           0.002
  495754          -0.003           0.001           0.005
  495755           0.003           0.001          -0.002
  495756          -0.001          -0.000          -0.001
  495757           0.001          -0.001          -0.002
  495758           0.000           0.003           0.009
  495759           0.001           0.004           0.005
  495760          -0.002          -0.001          -0.003
  495761          -0.000          -0.004          -0.005
  495762          -0.002           0.001          -0.004
  495763          -0.001          -0.000           0.000
  495764           0.003          -0.000          -0.003
  495765          -0.001          -0.000           0.004
  495766           0.003          -0.002          -0.003
  495767          -0.001           0.000          -0.002
  495768          -0.004           0.002           0.007
  495769           0.004          -0.001          -0.008
  495770          -0.004          -0.001           0.000
  495771           0.001          -0.001           0.003
  495772           0.000           0.003           0.007
  495773          -0.002          -0.002          -0.004
  495774           0.002           0.005           0.011
  495775           0.000          -0.001          -0.003
  495776          -0.001          -0.004          -0.012
  495777          -0.000          -0.001          -0.003
  495778           0.004          -0.000          -0.002
  495779          -0.002          -0.001          -0.001
  495780           0.001          -0.000           0.001
  495781          -0.003          -0.002          -0.005
  495782          -0.001          -0.002          -0.002
  495783           0.003           0.002           0.009
  495784           0.000           0.001           0.000
  495785          -0.002          -0.002          -0.006
  495786          -0.000          -0.004          -0.003
  495787           0.001           0.003           0.007
  495788           0.000           0.006           0.006
  495789           0.002          -0.002          -0.007
  495790          -0.002          -0.001          -0.007
  495791           0.002          -0.002          -0.007
  495792           0.001          -0.006          -0.007
  495793           0.001           0.003           0.003
  495794          -0.007          -0.000           0.012
  495795          -0.001          -0.001          -0.010
  495796          -0.000          -0.004           0.001
  495797          -0.000          -0.006          -0.013
  495798           0.001           0.003           0.006
  495799          -0.002          -0.001          -0.003
  495800          -0.000           0.005           0.012
  495801           0.001          -0.004          -0.004
  495802           0.000           0.001           0.004
  495803          -0.001           0.000          -0.004
  495804          -0.001          -0.001          -0.007
  495805          -0.003           0.001           0.001
  495806           0.001           0.000           0.004
  495807           0.000          -0.000           0.001
  495808          -0.001          -0.002          -0.007
  495809           0.001          -0.000          -0.003
  495810          -0.000           0.002           0.004
  495811          -0.000          -0.002          -0.006
  495812           0.001           0.002           0.006
  495813          -0.004          -0.002          -0.000
  495814           0.002           0.003           0.001
  495815           0.002           0.004           0.010
  495816          -0.000          -0.003          -0.013
  495817          -0.002           0.000          -0.001
  495818           0.003           0.002          -0.002
  495819          -0.001           0.000           0.005
  495820          -0.001           0.004           0.013
  495821          -0.003          -0.001          -0.000
  495822          -0.000          -0.002          -0.002
  495823           0.000           0.000           0.002
  495824           0.004           0.000          -0.008
  495825          -0.000           0.000           0.003
  495826          -0.002          -0.001          -0.003
  495827          -0.001          -0.005          -0.015
  495828          -0.003           0.001           0.008
  495829           0.002           0.000          -0.005
