Epoch Height
496044 -0.004
496043 -0.004
496044 -0.002
496045 -0.002
496046 0.0
496047 0.002
496048 0.004
496049 0.006
496050 0.006
496051 0.008
496052 0.01
496053 0.01
496054 0.012
496055 0.014
496056 0.014
496057 0.016
496058 0.016
496059 0.016
496060 0.018
496061 0.018
496062 0.018
496063 0.02
496064 0.02
496065 0.02
496066 0.02
496067 0.02
496068 0.02
496069 0.02
496070 0.018
496071 0.018
496072 0.018
496073 0.016
496074 0.014
496075 0.014
496076 0.012
496077 0.01
496078 0.01
496079 0.008
496080 0.008
496081 0.006
496082 0.006
496083 0.004
496084 0.002
496085 0.002
496086 0.0
496087 0.0
496088 -0.002
496089 -0.002
496090 -0.004
496091 -0.004
496092 -0.004
496093 -0.004
496094 -0.004
496095 -0.004
496096 -0.004
496097 -0.004
496098 -0.004
496099 -0.002
496100 -0.002
496101 -0.002
496102 0.0
496103 0.0
496104 0.0
496105 0.002
496106 0.002
496107 0.002
496108 0.002
496109 0.002
496110 0.002
496111 0.002
496112 0.002
496113 0.0
496114 0.0
496115 -0.002
496116 -0.002
496117 -0.002
496118 -0.004
496119 -0.004
496120 -0.006
496121 -0.006
496122 -0.006
496123 -0.008
496124 -0.008
496125 -0.008
496126 -0.01
496127 -0.01
496128 -0.01
496129 -0.01
496130 -0.01
496131 -0.01
496132 -0.01
496133 -0.01
496134 -0.008
496135 -0.008
496136 -0.008
496137 -0.006
496138 -0.006
496139 -0.006
496140 -0.004
496141 -0.004
496142 -0.004
496143 -0.004
496144 -0.002
496145 -0.002
496146 -0.002
496147 0.0
496148 0.0
496149 0.0
496150 0.0
496151 0.0
496152 0.002
496153 0.002
496154 0.002
496155 0.002
496156 0.002
496157 0.002
496158 0.002
496159 0.002
496160 0.0
496161 0.0
496162 0.0
496163 0.0
496164 -0.002
496165 -0.002
496166 -0.002
496167 -0.004
496168 -0.004
496169 -0.004
496170 -0.006
496171 -0.006
496172 -0.006
496173 -0.008
496174 -0.008
496175 -0.008
496176 -0.008
496177 -0.008
496178 -0.008
496179 -0.008
496180 -0.008
496181 -0.008
496182 -0.008
496183 -0.008
496184 -0.006
496185 -0.006
496186 -0.006
496187 -0.006
496188 -0.004
496189 -0.004
496190 -0.002
496191 -0.002
496192 0.0
496193 0.002
496194 0.002
496195 0.004
496196 0.006
496197 0.008
496198 0.01
496199 0.012
496200 0.014
496201 0.016
496202 0.018
496203 0.02
496204 0.02
496205 0.022
496206 0.024
496207 0.024
496208 0.026
496209 0.026
496210 0.026
496211 0.026
496212 0.028
496213 0.028
496214 0.028
496215 0.028
496216 0.03
496217 0.03
496218 0.03
496219 0.03
496220 0.03
496221 0.03
496222 0.03
496223 0.03
496224 0.03
496225 0.03
496226 0.03
496227 0.028
496228 0.028
496229 0.026
496230 0.026
496231 0.024
496232 0.022
496233 0.02
496234 0.018
496235 0.016
496236 0.012
496237 0.01
496238 0.008
496239 0.006
496240 0.004
496241 0.002
496242 0.0
496243 -0.002
496244 -0.004
496245 -0.004
496246 -0.006
496247 -0.006
496248 -0.008
496249 -0.008
496250 -0.008
496251 -0.008
496252 -0.008
496253 -0.008
496254 -0.01
496255 -0.008
496256 -0.008
496257 -0.008
496258 -0.008
496259 -0.008
496260 -0.008
496261 -0.008
496262 -0.006
496263 -0.006
496264 -0.004
496265 -0.004
496266 -0.002
496267 -0.002
496268 0.0
496269 0.0
496270 0.002
496271 0.002
496272 0.004
496273 0.006
496274 0.006
496275 0.008
496276 0.008
496277 0.01
496278 0.01
496279 0.01
496280 0.012
496281 0.012
496282 0.012
496283 0.012
496284 0.012
496285 0.012
496286 0.012
496287 0.012
496288 0.01
496289 0.01
496290 0.01
496291 0.01
496292 0.008
496293 0.008
496294 0.008
496295 0.008
496296 0.01
496297 0.01
496298 0.01
496299 0.012
496300 0.012
496301 0.012
496302 0.014
496303 0.014
496304 0.014
496305 0.014
496306 0.014
496307 0.014
496308 0.014
496309 0.014
496310 0.014
496311 0.014
496312 0.014
496313 0.014
496314 0.014
496315 0.014
496316 0.014
496317 0.014
496318 0.014
496319 0.012
496320 0.012
496321 0.012
496322 0.012
496323 0.012
496324 0.01
496325 0.01
496326 0.01
496327 0.01
496328 0.01
496329 0.01
496330 0.01
496331 0.01
496332 0.01
496333 0.01
496334 0.008
496335 0.008
496336 0.008
496337 0.008
496338 0.008
496339 0.008
496340 0.008
496341 0.008
496342 0.008
496343 0.008
496344 0.008
496345 0.008
496346 0.008
496347 0.01
496348 0.01
496349 0.01
496350 0.01
496351 0.01
496352 0.01
496353 0.01
496354 0.01
496355 0.01
496356 0.01
496357 0.01
496358 0.01
496359 0.01
496360 0.01
496361 0.01
496362 0.01
496363 0.01
496364 0.008
496365 0.008
496366 0.008
496367 0.008
496368 0.006
496369 0.006
496370 0.006
496371 0.006
496372 0.004
496373 0.004
496374 0.004
496375 0.004
496376 0.004
496377 0.004
496378 0.002
496379 0.002
496380 0.002
496381 0.002
496382 0.002
496383 0.002
496384 0.002
496385 0.002
496386 0.004
496387 0.004
496388 0.004
496389 0.004
496390 0.004
496391 0.002
496392 0.002
496393 0.002
496394 0.002
496395 0.002
496396 0.002
496397 0.002
496398 0.0
496399 0.0
496400 -0.002
496401 -0.002
496402 -0.004
496403 -0.006
496404 -0.01
496405 -0.012
496406 -0.014
496407 -0.016
496408 -0.02
496409 -0.022
496410 -0.026
496411 -0.028
496412 -0.03
496413 -0.032
496414 -0.034
496415 -0.034
496416 -0.036
496417 -0.036
496418 -0.036
496419 -0.036
496420 -0.036
496421 -0.034
496422 -0.034
496423 -0.034
496424 -0.032
496425 -0.03
496426 -0.03
496427 -0.028
496428 -0.026
496429 -0.026
496430 -0.024
496431 -0.022
496432 -0.02
496433 -0.018
496434 -0.016
496435 -0.014
496436 -0.012
496437 -0.01
496438 -0.008
496439 -0.006
496440 -0.006
496441 -0.004
496442 -0.002
496443 0.0
496444 0.002
496445 0.002
496446 0.004
496447 0.006
496448 0.008
496449 0.008
496450 0.01
496451 0.012
496452 0.012
496453 0.014
496454 0.014
496455 0.016
496456 0.016
496457 0.016
496458 0.016
496459 0.016
496460 0.016
496461 0.016
496462 0.016
496463 0.016
496464 0.014
496465 0.014
496466 0.014
496467 0.012
496468 0.012
496469 0.01
496470 0.008
496471 0.008
496472 0.008
496473 0.006
496474 0.006
496475 0.006
496476 0.004
496477 0.004
496478 0.002
496479 0.002
496480 0.0
496481 0.0
496482 -0.002
496483 -0.002
496484 -0.004
496485 -0.004
496486 -0.004
496487 -0.004
496488 -0.006
496489 -0.006
496490 -0.004
496491 -0.004
496492 -0.004
496493 -0.002
496494 -0.002
496495 -0.002
496496 0.0
496497 0.0
496498 0.0
496499 0.002
496500 0.002
496501 0.002
496502 0.002
496503 0.0
496504 0.0
496505 0.0
496506 -0.002
496507 -0.004
496508 -0.004
496509 -0.006
496510 -0.008
496511 -0.01
496512 -0.012
496513 -0.014
496514 -0.016
496515 -0.018
496516 -0.02
496517 -0.022
496518 -0.024
496519 -0.026
496520 -0.028
496521 -0.03
496522 -0.032
496523 -0.032
496524 -0.034
496525 -0.034
496526 -0.034
496527 -0.032
496528 -0.032
496529 -0.03
496530 -0.028
496531 -0.026
496532 -0.024
496533 -0.022
496534 -0.02
496535 -0.018
496536 -0.016
496537 -0.014
496538 -0.012
496539 -0.012
496540 -0.01
496541 -0.008
496542 -0.008
496543 -0.008
496544 -0.006
496545 -0.006
496546 -0.006
496547 -0.006
496548 -0.004
496549 -0.004
496550 -0.004
496551 -0.004
496552 -0.002
496553 -0.002
496554 -0.002
496555 0.0
496556 0.0
496557 0.0
496558 0.0
496559 0.0
496560 0.0
496561 0.0
496562 -0.002
496563 -0.002
496564 -0.004
496565 -0.004
496566 -0.004
496567 -0.006
496568 -0.006
496569 -0.008
496570 -0.008
496571 -0.01
496572 -0.01
496573 -0.012
496574 -0.012
496575 -0.014
496576 -0.014
496577 -0.014
496578 -0.014
496579 -0.014
496580 -0.014
496581 -0.012
496582 -0.012
496583 -0.01
496584 -0.01
496585 -0.008
496586 -0.008
496587 -0.006
496588 -0.004
496589 -0.004
496590 -0.002
496591 0.0
496592 0.0
496593 0.002
496594 0.004
496595 0.006
496596 0.008
496597 0.008
496598 0.01
496599 0.012
496600 0.012
496601 0.014
496602 0.014
496603 0.016
496604 0.016
496605 0.018
496606 0.018
496607 0.018
496608 0.018
496609 0.018
496610 0.02
496611 0.02
496612 0.02
496613 0.02
496614 0.02
496615 0.018
496616 0.018
496617 0.018
496618 0.018
496619 0.018
496620 0.018
496621 0.018
496622 0.02
496623 0.02
496624 0.022
496625 0.022
496626 0.024
496627 0.026
496628 0.026
496629 0.028
496630 0.03
496631 0.032
496632 0.034
496633 0.036
496634 0.038
496635 0.038
496636 0.04
496637 0.042
496638 0.042
496639 0.044
496640 0.044
496641 0.046
496642 0.046
496643 0.046
496644 0.044
496645 0.044
496646 0.044
496647 0.044
496648 0.042
496649 0.042
496650 0.04
496651 0.04
496652 0.038
496653 0.036
496654 0.034
496655 0.032
496656 0.03
496657 0.028
496658 0.026
496659 0.024
496660 0.022
496661 0.018
496662 0.016
496663 0.014
496664 0.01
496665 0.008
496666 0.006
496667 0.002
496668 0.0
496669 -0.004
496670 -0.006
496671 -0.008
496672 -0.012
496673 -0.014
496674 -0.016
496675 -0.02
496676 -0.022
496677 -0.024
