Epoch   Height
  495712          -0.054
  495713          -0.066
  495714          -0.038
  495715          -0.064
  495716          -0.059
  495717          -0.052
  495718          -0.046
  495719          -0.031
  495720          -0.032
  495721          -0.037
  495722          -0.021
  495723          -0.046
  495724          -0.052
  495725          -0.059
  495726          -0.035
  495727          -0.054
  495728          -0.058
  495729          -0.075
  495730          -0.073
  495731          -0.077
  495732          -0.078
  495733          -0.092
  495734          -0.106
  495735          -0.127
  495736          -0.114
  495737          -0.108
  495738          -0.109
  495739          -0.102
  495740          -0.092
  495741          -0.076
  495742          -0.076
  495743          -0.087
  495744          -0.099
  495745          -0.093
  495746          -0.115
  495747          -0.121
  495748          -0.107
  495749          -0.093
  495750          -0.093
  495751          -0.085
  495752          -0.084
  495753          -0.118
  495754          -0.106
  495755          -0.105
  495756          -0.160
  495757          -0.131
  495758          -0.124
  495759          -0.127
  495760          -0.123
  495761          -0.136
  495762          -0.141
  495763          -0.139
  495764          -0.140
  495765          -0.156
  495766          -0.093
  495767          -0.091
  495768          -0.108
  495769          -0.135
  495770          -0.131
  495771          -0.129
  495772          -0.139
  495773          -0.130
  495774          -0.127
  495775          -0.137
  495776          -0.149
  495777          -0.146
  495778          -0.134
  495779          -0.129
  495780          -0.118
  495781          -0.108
  495782          -0.119
  495783          -0.140
  495784          -0.137
  495785          -0.119
  495786          -0.117
  495787          -0.134
  495788          -0.126
  495789          -0.136
  495790          -0.134
  495791          -0.122
  495792          -0.131
  495793          -0.122
  495794          -0.129
  495795          -0.145
  495796          -0.158
  495797          -0.148
  495798          -0.144
  495799          -0.137
  495800          -0.135
  495801          -0.114
  495802          -0.157
  495803          -0.121
  495804          -0.141
  495805          -0.124
  495806          -0.126
  495807          -0.119
  495808          -0.131
  495809          -0.141
  495810          -0.159
  495811          -0.135
  495812          -0.100
  495813          -0.124
  495814          -0.113
  495815          -0.123
  495816          -0.132
  495817          -0.115
  495818          -0.130
  495819          -0.136
  495820          -0.131
  495821          -0.127
  495822          -0.127
  495823          -0.137
  495824          -0.121
  495825          -0.113
  495826          -0.121
  495827          -0.099
  495828          -0.116
  495829          -0.115
  495830          -0.106
  495831          -0.123
  495832          -0.121
  495833          -0.126
  495834          -0.125
  495835          -0.127
  495836          -0.102
  495837          -0.098
  495838          -0.102
  495839          -0.107
  495840          -0.092
  495841          -0.084
  495842          -0.089
  495843          -0.103
  495844          -0.106
  495845          -0.103
  495846          -0.094
  495847          -0.091
  495848          -0.107
  495849          -0.095
  495850          -0.073
  495851          -0.087
  495852          -0.067
  495853          -0.069
  495854          -0.082
  495855          -0.090
  495856          -0.075
  495857          -0.082
  495858          -0.084
  495859          -0.079
  495860          -0.081
  495861          -0.093
  495862          -0.068
  495863          -0.067
  495864          -0.071
  495865          -0.077
  495866          -0.071
  495867          -0.073
  495868          -0.076
  495869          -0.086
  495870          -0.091
  495871          -0.081
  495872          -0.082
  495873          -0.077
  495874          -0.070
  495875          -0.082
  495876          -0.078
  495877          -0.069
  495878          -0.067
  495879          -0.087
  495880          -0.085
  495881          -0.082
  495882          -0.095
  495883          -0.056
  495884          -0.073
  495885          -0.074
  495886          -0.073
  495887          -0.080
  495888          -0.080
  495889          -0.072
  495890          -0.070
  495891          -0.085
  495892          -0.098
  495893          -0.092
  495894          -0.084
  495895          -0.077
  495896          -0.060
  495897          -0.069
  495898          -0.066
  495899          -0.064
  495900          -0.069
  495901          -0.073
  495902          -0.071
  495903          -0.079
  495904          -0.082
  495905          -0.087
  495906          -0.076
  495907          -0.066
  495908          -0.082
  495909          -0.084
  495910          -0.070
  495911          -0.064
  495912          -0.066
  495913          -0.064
  495914          -0.070
  495915          -0.079
  495916          -0.079
  495917          -0.068
  495918          -0.046
  495919          -0.049
  495920          -0.052
  495921          -0.055
  495922          -0.062
  495923          -0.069
  495924          -0.071
  495925          -0.094
  495926          -0.089
  495927          -0.090
  495928          -0.088
  495929          -0.092
  495930          -0.059
  495931          -0.084
  495932          -0.095
  495933          -0.090
  495934          -0.067
  495935          -0.066
  495936          -0.080
  495937          -0.086
  495938          -0.056
  495939          -0.051
  495940          -0.045
  495941          -0.043
  495942          -0.054
  495943          -0.057
  495944          -0.061
  495945          -0.034
  495946          -0.031
  495947          -0.043
  495948          -0.051
  495949          -0.054
  495950          -0.040
  495951          -0.067
  495952          -0.051
  495953          -0.036
  495954          -0.030
  495955          -0.024
  495956          -0.045
  495957          -0.045
  495958          -0.047
  495959          -0.037
  495960          -0.053
  495961          -0.076
  495962          -0.068
  495963          -0.063
  495964          -0.054
  495965          -0.035
  495966          -0.056
  495967          -0.078
  495968          -0.067
  495969          -0.065
  495970          -0.045
  495971          -0.048
  495972          -0.060
  495973          -0.074
  495974          -0.078
  495975          -0.060
  495976          -0.066
  495977          -0.081
  495978          -0.081
  495979          -0.075
  495980          -0.073
  495981          -0.090
  495982          -0.076
  495983          -0.072
  495984          -0.070
  495985          -0.059
  495986          -0.061
  495987          -0.055
  495988          -0.049
  495989          -0.064
  495990          -0.069
  495991          -0.066
  495992          -0.075
  495993          -0.085
  495994          -0.093
  495995          -0.094
  495996          -0.100
  495997          -0.098
  495998          -0.102
  495999          -0.092
  496000          -0.075
  496001          -0.058
  496002          -0.047
  496003          -0.047
  496004          -0.046
  496005          -0.022
  496006          -0.035
  496007          -0.050
  496008          -0.047
  496009          -0.062
  496010          -0.072
  496011          -0.075
  496012          -0.073
  496013          -0.093
  496014          -0.092
  496015          -0.071
  496016          -0.070
  496017          -0.075
  496018          -0.075
  496019          -0.077
  496020          -0.071
  496021          -0.073
  496022          -0.066
  496023          -0.083
  496024          -0.084
  496025          -0.087
  496026          -0.093
  496027          -0.086
  496028          -0.078
  496029          -0.068
  496030          -0.051
  496031          -0.047
  496032          -0.060
  496033          -0.077
  496034          -0.073
  496035          -0.082
  496036          -0.068
  496037          -0.054
  496038          -0.064
  496039          -0.058
  496040          -0.058
  496041          -0.075
  496042          -0.069
  496043          -0.066
  496044          -0.073
  496045          -0.079
  496046          -0.072
  496047          -0.058
  496048          -0.080
  496049          -0.074
  496050          -0.058
  496051          -0.068
  496052          -0.071
  496053          -0.074
  496054          -0.057
  496055          -0.051
  496056          -0.067
  496057          -0.070
  496058          -0.058
  496059          -0.067
  496060          -0.062
  496061          -0.065
  496062          -0.062
  496063          -0.063
  496064          -0.062
  496065          -0.081
  496066          -0.065
  496067          -0.062
  496068          -0.046
  496069          -0.064
  496070          -0.064
  496071          -0.075
  496072          -0.073
  496073          -0.072
  496074          -0.080
  496075          -0.074
  496076          -0.072
  496077          -0.071
  496078          -0.072
  496079          -0.076
  496080          -0.078
  496081          -0.075
  496082          -0.064
  496083          -0.054
  496084          -0.066
  496085          -0.054
  496086          -0.059
  496087          -0.070
  496088          -0.072
  496089          -0.062
  496090          -0.053
