Epoch   Height
  495703          -1.012
  495704          -1.009
  495705          -1.018
  495706          -1.010
  495707          -0.966
  495708          -0.902
  495709          -0.875
  495710          -0.817
  495711          -0.758
  495712          -0.737
  495713          -0.697
  495714          -0.701
  495715          -0.693
  495716          -0.688
  495717          -0.682
  495718          -0.681
  495719          -0.679
  495720          -0.690
  495721          -0.670
  495722          -0.657
  495723          -0.642
  495724          -0.613
  495725          -0.622
  495726          -0.617
  495727          -0.631
  495728          -0.675
  495729          -0.676
  495730          -0.685
  495731          -0.751
  495732          -0.805
  495733          -0.829
  495734          -0.878
  495735          -0.958
  495736          -1.107
  495737          -1.298
  495738          -1.736
  495739          -1.370
  495740          -0.424
  495741          -0.527
  495742          -0.606
  495743          -0.714
  495744          -0.806
  495745          -0.940
  495746          -1.131
  495747          -1.409
  495748          -1.742
  495749          -0.798
  495750          -0.798
  495751          -0.980
  495752          -0.066
  495753          -0.157
  495754          -0.217
  495755          -0.251
  495756          -0.284
  495757          -0.307
  495758          -0.334
  495759          -0.346
  495760          -0.366
  495761          -0.378
  495762          -0.383
  495763          -0.401
  495764          -0.418
  495765          -0.426
  495766          -0.434
  495767          -0.446
  495768          -0.458
  495769          -0.470
  495770          -0.505
  495771          -0.532
  495772          -0.570
  495773          -0.608
  495774          -0.644
  495775          -0.675
  495776          -0.733
  495777          -0.787
  495778          -0.861
  495779          -0.939
  495780          -1.045
  495781          -1.178
  495782          -1.358
  495783          -1.649
  495784          -2.129
  495785          -1.086
  495786          -1.100
  495787          -1.141
  495788           0.036
  495789          -0.019
  495790          -0.066
  495791          -0.099
  495792          -0.118
  495793          -0.150
  495794          -0.166
  495795          -0.178
  495796          -0.217
  495797          -0.196
  495798          -0.220
  495799          -0.208
  495800          -0.243
  495801          -0.242
  495802          -0.257
  495803          -0.266
  495804          -0.262
  495805          -0.276
  495806          -0.277
  495807          -0.275
  495808          -0.274
  495809          -0.272
  495810          -0.287
  495811          -0.282
  495812          -0.286
  495813          -0.289
  495814          -0.291
  495815          -0.315
  495816          -0.312
  495817          -0.319
  495818          -0.317
  495819          -0.324
  495820          -0.348
  495821          -0.349
  495822          -0.338
  495823          -0.338
  495824          -0.346
  495825          -0.345
  495826          -0.355
  495827          -0.342
  495828          -0.350
  495829          -0.348
  495830          -0.349
  495831          -0.335
  495832          -0.337
  495833          -0.341
  495834          -0.339
  495835          -0.346
  495836          -0.341
  495837          -0.348
  495838          -0.351
  495839          -0.356
  495840          -0.367
  495841          -0.349
  495842          -0.346
  495843          -0.351
  495844          -0.343
  495845          -0.350
  495846          -0.348
  495847          -0.361
  495848          -0.371
  495849          -0.368
  495850          -0.359
  495851          -0.373
  495852          -0.545
  495853          -0.506
  495854          -0.512
  495855          -0.491
  495856          -0.483
  495857          -0.459
  495858          -0.456
  495859          -0.448
  495860          -0.472
  495861          -0.492
  495862          -0.463
  495863          -0.478
  495864          -0.471
  495865          -0.452
  495866          -0.461
  495867          -0.459
  495868          -0.448
  495869          -0.443
  495870          -0.431
  495871          -0.436
  495872          -0.423
  495873          -0.428
  495874          -0.428
  495875          -0.427
  495876          -0.388
  495877          -0.375
  495878          -0.361
  495879          -0.364
  495880          -0.359
  495881          -0.375
  495882          -0.386
  495883          -0.390
  495884          -0.382
  495885          -0.374
  495886          -0.376
  495887          -0.390
  495888          -0.388
  495889          -0.365
  495890          -0.365
  495891          -0.377
  495892          -0.372
  495893          -0.370
  495894          -0.375
  495895          -0.371
  495896          -0.376
  495897          -0.371
  495898          -0.358
  495899          -0.370
  495900          -0.358
  495901          -0.349
  495902          -0.356
  495903          -0.358
  495904          -0.359
  495905          -0.362
  495906          -0.365
  495907          -0.380
  495908          -0.372
  495909          -0.374
  495910          -0.368
  495911          -0.371
  495912          -0.356
  495913          -0.351
  495914          -0.366
  495915          -0.362
  495916          -0.367
  495917          -0.371
  495918          -0.369
  495919          -0.355
  495920          -0.298
  495921          -0.278
  495922          -0.289
  495923          -0.297
  495924          -0.301
  495925          -0.297
  495926          -0.285
  495927          -0.271
  495928          -0.259
  495929          -0.244
  495930          -0.261
  495931          -0.257
  495932          -0.227
  495933          -0.242
  495934          -0.227
  495935          -0.231
  495936          -0.204
  495937          -0.202
  495938          -0.203
  495939          -0.203
  495940          -0.193
  495941          -0.160
  495942          -0.176
  495943          -0.162
  495944          -0.151
  495945          -0.136
  495946          -0.121
  495947          -0.113
  495948          -0.138
  495949          -0.166
  495950          -0.164
  495951          -0.152
  495952          -0.162
  495953          -0.157
  495954          -0.168
  495955          -0.153
  495956          -0.157
  495957          -0.138
  495958          -0.134
  495959          -0.130
  495960          -0.138
  495961          -0.140
  495962          -0.144
  495963          -0.153
  495964          -0.144
  495965          -0.150
  495966          -0.155
  495967          -0.157
  495968          -0.175
  495969          -0.182
  495970          -0.175
  495971          -0.188
  495972          -0.207
  495973          -0.221
  495974          -0.212
  495975          -0.208
  495976          -0.199
  495977          -0.219
  495978          -0.211
  495979          -0.204
  495980          -0.211
  495981          -0.214
  495982          -0.204
  495983          -0.190
  495984          -0.158
  495985          -0.181
  495986          -0.174
  495987          -0.160
  495988          -0.204
  495989          -0.219
  495990          -0.215
  495991          -0.212
  495992          -0.202
  495993          -0.204
  495994          -0.224
  495995          -0.246
  495996          -0.243
  495997          -0.225
  495998          -0.219
  495999          -0.190
  496000          -0.195
  496001          -0.209
  496002          -0.212
  496003          -0.205
  496004          -0.225
  496005          -0.218
  496006          -0.222
  496007          -0.229
  496008          -0.233
  496009          -0.226
  496010          -0.216
  496011          -0.203
  496012          -0.175
  496013          -0.165
  496014          -0.189
  496015          -0.225
  496016          -0.220
  496017          -0.236
  496018          -0.224
  496019          -0.220
  496020          -0.213
  496021          -0.209
  496022          -0.202
  496023          -0.231
  496024          -0.217
  496025          -0.197
  496026          -0.207
  496027          -0.224
  496028          -0.209
  496029          -0.202
  496030          -0.207
  496031          -0.212
  496032          -0.208
  496033          -0.221
  496034          -0.210
  496035          -0.221
  496036          -0.221
  496037          -0.228
  496038          -0.219
  496039          -0.233
  496040          -0.212
  496041          -0.213
  496042          -0.209
  496043          -0.211
  496044          -0.220
  496045          -0.223
  496046          -0.222
  496047          -0.252
  496048          -0.244
  496049          -0.238
  496050          -0.223
  496051          -0.218
  496052          -0.230
  496053          -0.227
  496054          -0.230
  496055          -0.228
  496056          -0.226
  496057          -0.224
  496058          -0.205
  496059          -0.207
  496060          -0.213
  496061          -0.216
  496062          -0.216
  496063          -0.211
  496064          -0.214
  496065          -0.209
  496066          -0.206
  496067          -0.197
  496068          -0.175
  496069          -0.168
  496070          -0.158
  496071          -0.156
  496072          -0.142
  496073          -0.116
  496074          -0.117
  496075          -0.122
  496076          -0.126
  496077          -0.104
  496078          -0.086
  496079          -0.064
  496080          -0.058
  496081          -0.016
  496082           0.004
  496083           0.031
  496084           0.035
  496085           0.036
  496086           0.043
  496087           0.044
  496088           0.055
  496089           0.055
  496090           0.048
  496091           0.076
  496092           0.060
  496093           0.077
  496094           0.097
  496095           0.113
  496096           0.091
  496097           0.126
  496098           0.133
  496099           0.158
  496100           0.191
  496101           0.175
  496102           0.192
  496103           0.187
  496104           0.174
  496105           0.185
  496106           0.195
  496107           0.192
  496108           0.189
  496109           0.200
  496110           0.218
  496111           0.204
  496112           0.230
  496113           0.242
  496114           0.240
  496115           0.229
  496116           0.250
  496117           0.226
  496118           0.206
  496119           0.216
  496120           0.238
  496121           0.244
  496122           0.256
  496123           0.225
  496124           0.184
  496125           0.212
  496126           0.229
  496127           0.215
  496128           0.194
  496129           0.196
  496130           0.209
  496131           0.210
  496132           0.210
  496133           0.219
  496134           0.213
  496135           0.205
  496136           0.192
  496137           0.217
  496138           0.220
  496139           0.257
  496140           0.272
  496141           0.241
  496142           0.252
  496143           0.257
  496144           0.264
  496145           0.245
  496146           0.258
  496147           0.246
  496148           0.220
  496149           0.244
  496150           0.260
  496151           0.286
  496152           0.260
  496153           0.264
  496154           0.292
  496155           0.281
  496156           0.274
  496157           0.292
  496158           0.322
  496159           0.319
  496160           0.316
  496161           0.312
  496162           0.310
  496163           0.324
  496164           0.316
  496165           0.353
  496166           0.342
  496167           0.358
  496168           0.357
  496169           0.356
  496170           0.380
  496171           0.404
  496172           0.446
  496173           0.433
  496174           0.445
  496175           0.444
  496176           0.425
  496177           0.408
  496178           0.384
  496179           0.395
  496180           0.405
  496181           0.408
  496182           0.444
  496183           0.449
  496184           0.502
  496185           0.530
  496186           0.528
  496187           0.573
  496188           0.584
  496189           0.584
  496190           0.596
  496191           0.589
  496192           0.568
  496193           0.548
  496194           0.553
  496195           0.573
  496196           0.605
  496197           0.600
  496198           0.580
  496199           0.533
  496200           0.526
  496201           0.538
  496202           0.506
  496203           0.503
  496204           0.509
  496205           0.533
  496206           0.536
  496207           0.552
  496208           0.532
  496209           0.507
  496210           0.506
  496211           0.520
  496212           0.520
  496213           0.504
  496214           0.445
  496215           0.419
  496216           0.405
  496217           0.405
  496218           0.411
  496219           0.408
  496220           0.442
  496221           0.433
  496222           0.417
  496223           0.430
  496224           0.448
  496225           0.490
  496226           0.488
  496227           0.461
  496228           0.495
  496229           0.445
  496230           0.424
  496231           0.436
  496232           0.429
  496233           0.384
  496234           0.386
  496235           0.400
  496236           0.415
  496237           0.446
  496238           0.451
  496239           0.476
  496240           0.480
  496241           0.473
  496242           0.478
  496243           0.445
  496244           0.421
  496245           0.447
  496246           0.447
  496247           0.448
  496248           0.426
  496249           0.456
  496250           0.452
  496251           0.442
  496252           0.402
  496253           0.423
  496254           0.408
  496255           0.430
  496256           0.443
  496257           0.428
  496258           0.422
  496259           0.406
  496260           0.298
  496261           0.288
  496262           0.314
  496263           0.300
  496264           0.291
  496265           0.300
  496266           0.346
  496267           0.332
  496268           0.320
  496269           0.330
  496270           0.369
  496271           0.458
  496272           0.477
  496273           0.465
  496274           0.511
  496275           0.496
  496276           0.483
  496277           0.489
  496278           0.388
  496279           0.431
  496280           0.410
  496281           0.393
  496282           0.367
  496283           0.328
  496284           0.366
  496285           0.443
  496286           0.454
  496287           0.458
  496288           0.485
  496289           0.561
  496290           0.572
  496291           0.558
  496292           0.792
  496293           0.726
  496294           0.653
  496295           0.612
  496296           0.563
  496297           0.558
  496298           0.578
  496299           0.499
  496300           0.544
  496301           0.556
  496302           0.554
  496303           0.589
  496304           0.615
  496305           0.623
  496306           0.597
  496307           0.615
  496308           0.556
  496309           0.559
  496310           0.563
  496311           0.490
  496312           0.481
  496313           0.406
  496314           0.390
  496315           0.358
  496316           0.344
  496317           0.410
  496318           0.082
  496319           0.145
  496320           0.182
  496321           0.185
