Epoch	Height
496043	-1.962
496044	-2.006
496045	-2.055
496046	-2.078
496047	-2.086
496048	-2.088
496049	-2.112
496050	-2.103
496051	-2.144
496052	-2.142
496053	-2.145
496054	-2.169
496055	-2.194
496056	-2.198
496057	-2.219
496058	-2.233
496059	-2.24
496060	-2.268
496061	-2.281
496062	-2.297
496063	-2.31
496064	-2.322
496065	-2.315
496066	-2.318
496067	-2.328
496068	-2.317
496069	-2.312
496070	-2.335
496071	-2.331
496072	-2.325
496073	-2.353
496074	-2.392
496075	-2.398
496076	-2.428
496077	-2.449
496078	-2.456
496079	-2.429
496080	-2.451
496081	-2.432
496082	-2.439
496083	-2.445
496084	-2.446
496085	-2.482
496086	-2.506
496087	-2.526
496088	-2.531
496089	-2.564
496090	-2.587
496091	-2.578
496092	-2.618
496093	-2.641
496094	-2.648
496095	-2.647
496096	-2.678
496097	-2.688
496098	-2.7
496099	-2.7
496100	-2.694
496101	-2.711
496102	-2.727
496103	-2.747
496104	-2.758
496105	-2.764
496106	-2.771
496107	-2.795
496108	-2.804
496109	-2.817
496110	-2.817
496111	-2.83
496112	-2.829
496113	-2.837
496114	-2.855
496115	-2.87
496116	-2.879
496117	-2.91
496118	-2.938
496119	-2.956
496120	-2.947
496121	-2.958
496122	-2.963
496123	-3.001
496124	-3.023
496125	-3.008
496126	-3.006
496127	-3.043
496128	-3.06
496129	-3.069
496130	-3.055
496131	-3.071
496132	-3.062
496133	-3.083
496134	-3.094
496135	-3.083
496136	-3.117
496137	-3.111
496138	-3.11
496139	-3.089
496140	-3.102
496141	-3.129
496142	-3.132
496143	-3.129
496144	-3.134
496145	-3.122
496146	-3.127
496147	-3.135
496148	-3.146
496149	-3.153
496150	-3.142
496151	-3.134
496152	-3.146
496153	-3.169
496154	-3.166
496155	-3.161
496156	-3.144
496157	-3.144
496158	-3.139
496159	-3.14
496160	-3.142
496161	-3.142
496162	-3.122
496163	-3.152
496164	-3.146
496165	-3.115
496166	-3.115
496167	-3.098
496168	-3.107
496169	-3.146
496170	-3.145
496171	-3.12
496172	-3.115
496173	-3.132
496174	-3.136
496175	-3.139
496176	-3.142
496177	-3.145
496178	-3.143
496179	-3.149
496180	-3.141
496181	-3.129
496182	-3.118
496183	-3.107
496184	-3.129
496185	-3.137
496186	-3.136
496187	-3.123
496188	-3.15
496189	-3.156
496190	-3.151
496191	-3.172
496192	-3.188
496193	-3.184
496194	-3.19
496195	-3.201
496196	-3.179
496197	-3.163
496198	-3.148
496199	-3.163
496200	-3.15
496201	-3.139
496202	-3.134
496203	-3.132
496204	-3.121
496205	-3.099
496206	-3.109
496207	-3.098
496208	-3.113
496209	-3.109
496210	-3.11
496211	-3.109
496212	-3.123
496213	-3.193
496214	-3.209
496215	-3.158
496216	-3.132
496217	-3.128
496218	-3.118
496219	-3.1
496220	-3.064
496221	-3.054
496222	-3.061
