Epoch    Height
  495712         -20.567
  495713         -20.575
  495714         -20.562
  495715         -20.574
  495716         -20.567
  495717         -20.559
  495718         -20.554
  495719         -20.548
  495720         -20.555
  495721         -20.556
  495722         -20.551
  495723         -20.563
  495724         -20.571
  495725         -20.572
  495726         -20.560
  495727         -20.563
  495728         -20.564
  495729         -20.575
  495730         -20.577
  495731         -20.580
  495732         -20.581
  495733         -20.589
  495734         -20.604
  495735         -20.616
  495736         -20.600
  495737         -20.591
  495738         -20.594
  495739         -20.585
  495740         -20.581
  495741         -20.567
  495742         -20.562
  495743         -20.580
  495744         -20.585
  495745         -20.572
  495746         -20.582
  495747         -20.589
  495748         -20.586
  495749         -20.573
  495750         -20.577
  495751         -20.567
  495752         -20.566
  495753         -20.597
  495754         -20.588
  495755         -20.584
  495756         -20.625
  495757         -20.597
  495758         -20.593
  495759         -20.593
  495760         -20.582
  495761         -20.596
  495762         -20.596
  495763         -20.590
  495764         -20.591
  495765         -20.609
  495766         -20.552
  495767         -20.547
  495768         -20.561
  495769         -20.589
  495770         -20.592
  495771         -20.591
  495772         -20.594
  495773         -20.589
  495774         -20.589
  495775         -20.592
  495776         -20.605
  495777         -20.604
  495778         -20.598
  495779         -20.594
  495780         -20.578
  495781         -20.567
  495782         -20.576
  495783         -20.593
  495784         -20.590
  495785         -20.585
  495786         -20.583
  495787         -20.600
  495788         -20.605
  495789         -20.604
  495790         -20.602
  495791         -20.591
  495792         -20.590
  495793         -20.586
  495794         -20.594
  495795         -20.607
  495796         -20.618
  495797         -20.612
  495798         -20.608
  495799         -20.608
  495800         -20.608
  495801         -20.599
  495802         -20.633
  495803         -20.594
  495804         -20.625
  495805         -20.602
  495806         -20.617
  495807         -20.605
  495808         -20.620
  495809         -20.616
  495810         -20.641
  495811         -20.611
  495812         -20.576
  495813         -20.609
  495814         -20.593
  495815         -20.592
  495816         -20.607
  495817         -20.597
  495818         -20.610
  495819         -20.616
  495820         -20.613
  495821         -20.608
  495822         -20.612
  495823         -20.618
  495824         -20.602
  495825         -20.599
  495826         -20.602
  495827         -20.585
  495828         -20.594
  495829         -20.581
  495830         -20.580
  495831         -20.594
  495832         -20.594
  495833         -20.598
  495834         -20.601
  495835         -20.599
  495836         -20.593
  495837         -20.585
  495838         -20.587
  495839         -20.597
  495840         -20.586
  495841         -20.578
  495842         -20.589
  495843         -20.590
  495844         -20.589
  495845         -20.595
  495846         -20.589
  495847         -20.579
  495848         -20.594
  495849         -20.583
  495850         -20.576
  495851         -20.590
  495852         -20.570
  495853         -20.567
  495854         -20.579
  495855         -20.584
  495856         -20.572
  495857         -20.574
  495858         -20.578
  495859         -20.581
  495860         -20.578
  495861         -20.587
  495862         -20.578
  495863         -20.571
  495864         -20.579
  495865         -20.590
  495866         -20.593
  495867         -20.593
  495868         -20.597
  495869         -20.592
  495870         -20.596
  495871         -20.597
  495872         -20.588
  495873         -20.585
  495874         -20.586
  495875         -20.594
  495876         -20.585
  495877         -20.583
  495878         -20.578
  495879         -20.598
  495880         -20.595
  495881         -20.594
  495882         -20.609
  495883         -20.579
  495884         -20.593
  495885         -20.595
  495886         -20.592
  495887         -20.592
  495888         -20.587
  495889         -20.585
  495890         -20.575
  495891         -20.579
  495892         -20.589
  495893         -20.588
  495894         -20.588
  495895         -20.582
  495896         -20.570
  495897         -20.575
  495898         -20.578
  495899         -20.580
  495900         -20.576
  495901         -20.574
  495902         -20.572
  495903         -20.579
  495904         -20.584
  495905         -20.590
  495906         -20.584
  495907         -20.579
  495908         -20.585
  495909         -20.587
  495910         -20.578
  495911         -20.567
  495912         -20.575
  495913         -20.575
  495914         -20.576
  495915         -20.581
  495916         -20.580
  495917         -20.573
  495918         -20.564
  495919         -20.561
  495920         -20.569
  495921         -20.574
  495922         -20.578
  495923         -20.584
  495924         -20.580
  495925         -20.592
  495926         -20.592
  495927         -20.596
  495928         -20.594
  495929         -20.604
  495930         -20.580
  495931         -20.597
  495932         -20.605
  495933         -20.605
  495934         -20.587
  495935         -20.591
  495936         -20.604
  495937         -20.603
  495938         -20.579
  495939         -20.574
  495940         -20.568
  495941         -20.574
  495942         -20.580
  495943         -20.582
  495944         -20.580
  495945         -20.566
  495946         -20.557
  495947         -20.566
  495948         -20.578
  495949         -20.577
  495950         -20.578
  495951         -20.595
  495952         -20.578
  495953         -20.571
  495954         -20.575
  495955         -20.577
  495956         -20.597
  495957         -20.578
  495958         -20.575
  495959         -20.560
  495960         -20.582
  495961         -20.591
  495962         -20.576
  495963         -20.570
  495964         -20.572
  495965         -20.557
  495966         -20.578
  495967         -20.599
  495968         -20.591
  495969         -20.585
  495970         -20.570
  495971         -20.571
  495972         -20.584
  495973         -20.597
  495974         -20.601
  495975         -20.588
  495976         -20.583
  495977         -20.582
  495978         -20.584
  495979         -20.587
  495980         -20.582
  495981         -20.600
  495982         -20.583
  495983         -20.581
  495984         -20.587
  495985         -20.580
  495986         -20.579
  495987         -20.582
  495988         -20.581
  495989         -20.593
  495990         -20.593
  495991         -20.592
  495992         -20.590
  495993         -20.597
  495994         -20.594
  495995         -20.597
  495996         -20.601
  495997         -20.601
  495998         -20.604
  495999         -20.598
  496000         -20.590
  496001         -20.577
  496002         -20.563
  496003         -20.561
