Epoch    Height
  495703         -20.217
  495704         -20.214
  495705         -20.227
  495706         -20.219
  495707         -20.212
  495708         -20.214
  495709         -20.213
  495710         -20.218
  495711         -20.227
  495712         -20.223
  495713         -20.232
  495714         -20.221
  495715         -20.221
  495716         -20.210
  495717         -20.210
  495718         -20.203
  495719         -20.203
  495720         -20.203
  495721         -20.204
  495722         -20.206
  495723         -20.201
  495724         -20.203
  495725         -20.199
  495726         -20.190
  495727         -20.188
  495728         -20.197
  495729         -20.192
  495730         -20.193
  495731         -20.198
  495732         -20.200
  495733         -20.197
  495734         -20.199
  495735         -20.199
  495736         -20.186
  495737         -20.170
  495738         -20.172
  495739         -20.179
  495740         -20.184
  495741         -20.191
  495742         -20.195
  495743         -20.187
  495744         -20.184
  495745         -20.186
  495746         -20.182
  495747         -20.183
  495748         -20.180
  495749         -20.174
  495750         -20.167
  495751         -20.155
  495752         -20.157
  495753         -20.154
  495754         -20.149
  495755         -20.151
  495756         -20.152
  495757         -20.154
  495758         -20.145
  495759         -20.141
  495760         -20.144
  495761         -20.149
  495762         -20.153
  495763         -20.153
  495764         -20.156
  495765         -20.152
  495766         -20.155
  495767         -20.157
  495768         -20.150
  495769         -20.158
  495770         -20.158
  495771         -20.155
  495772         -20.147
  495773         -20.151
  495774         -20.141
  495775         -20.143
  495776         -20.156
  495777         -20.159
  495778         -20.161
  495779         -20.162
  495780         -20.161
  495781         -20.166
  495782         -20.168
  495783         -20.159
  495784         -20.158
  495785         -20.165
  495786         -20.167
  495787         -20.161
  495788         -20.154
  495789         -20.161
  495790         -20.169
  495791         -20.175
  495792         -20.182
  495793         -20.180
  495794         -20.168
  495795         -20.177
  495796         -20.176
  495797         -20.190
  495798         -20.183
  495799         -20.186
  495800         -20.175
  495801         -20.179
  495802         -20.175
  495803         -20.179
  495804         -20.186
  495805         -20.185
  495806         -20.180
  495807         -20.180
  495808         -20.187
  495809         -20.190
  495810         -20.186
  495811         -20.192
  495812         -20.186
  495813         -20.186
  495814         -20.185
  495815         -20.174
  495816         -20.187
  495817         -20.188
  495818         -20.190
  495819         -20.185
  495820         -20.172
  495821         -20.173
  495822         -20.174
  495823         -20.173
  495824         -20.181
  495825         -20.178
  495826         -20.181
  495827         -20.196
  495828         -20.189
  495829         -20.194
  495830         -20.198
  495831         -20.201
  495832         -20.193
  495833         -20.207
  495834         -20.194
  495835         -20.194
  495836         -20.200
  495837         -20.201
  495838         -20.193
  495839         -20.200
  495840         -20.194
  495841         -20.201
  495842         -20.199
  495843         -20.203
  495844         -20.201
  495845         -20.202
  495846         -20.195
  495847         -20.193
  495848         -20.186
  495849         -20.187
  495850         -20.195
  495851         -20.200
  495852         -20.192
  495853         -20.215
  495854         -20.204
  495855         -20.211
  495856         -20.212
  495857         -20.219
  495858         -20.222
  495859         -20.222
  495860         -20.212
  495861         -20.206
  495862         -20.221
  495863         -20.210
  495864         -20.210
  495865         -20.227
  495866         -20.211
  495867         -20.211
  495868         -20.216
  495869         -20.214
  495870         -20.216
  495871         -20.211
  495872         -20.210
  495873         -20.210
  495874         -20.213
  495875         -20.209
  495876         -20.207
  495877         -20.205
  495878         -20.208
  495879         -20.212
  495880         -20.212
  495881         -20.205
  495882         -20.194
  495883         -20.189
  495884         -20.192
  495885         -20.196
  495886         -20.194
  495887         -20.191
  495888         -20.196
  495889         -20.206
  495890         -20.203
  495891         -20.187
  495892         -20.184
  495893         -20.184
  495894         -20.180
  495895         -20.173
  495896         -20.177
  495897         -20.182
  495898         -20.190
  495899         -20.168
  495900         -20.170
  495901         -20.173
  495902         -20.167
  495903         -20.169
  495904         -20.170
  495905         -20.160
  495906         -20.158
  495907         -20.156
  495908         -20.159
  495909         -20.170
  495910         -20.165
  495911         -20.169
  495912         -20.167
  495913         -20.166
  495914         -20.152
  495915         -20.146
  495916         -20.136
  495917         -20.145
  495918         -20.156
  495919         -20.142
  495920         -20.150
  495921         -20.153
  495922         -20.140
  495923         -20.145
  495924         -20.142
  495925         -20.150
  495926         -20.153
  495927         -20.150
  495928         -20.146
  495929         -20.144
  495930         -20.144
  495931         -20.143
  495932         -20.152
  495933         -20.142
  495934         -20.143
  495935         -20.140
  495936         -20.154
  495937         -20.145
  495938         -20.140
  495939         -20.142
  495940         -20.134
  495941         -20.140
  495942         -20.125
  495943         -20.112
  495944         -20.112
  495945         -20.123
  495946         -20.129
  495947         -20.125
  495948         -20.108
  495949         -20.093
  495950         -20.090
  495951         -20.091
  495952         -20.080
  495953         -20.081
  495954         -20.072
  495955         -20.093
  495956         -20.084
  495957         -20.084
  495958         -20.083
  495959         -20.084
  495960         -20.069
  495961         -20.076
  495962         -20.066
  495963         -20.062
  495964         -20.065
  495965         -20.060
  495966         -20.065
  495967         -20.052
  495968         -20.035
  495969         -20.032
  495970         -20.036
  495971         -20.033
  495972         -20.027
  495973         -20.026
  495974         -20.029
  495975         -20.034
  495976         -20.037
  495977         -20.031
  495978         -20.035
  495979         -20.034
  495980         -20.037
  495981         -20.027
  495982         -20.027
  495983         -20.012
  495984         -20.011
  495985         -19.996
  495986         -19.998
  495987         -19.992
  495988         -19.993
  495989         -19.985
  495990         -19.986
  495991         -19.996
  495992         -19.999
  495993         -20.006
  495994         -19.998
  495995         -19.998
  495996         -20.001
  495997         -20.000
  495998         -20.005
  495999         -20.003
  496000         -20.001
  496001         -19.992
  496002         -19.990
  496003         -20.000
  496004         -19.983
  496005         -19.979
  496006         -19.991
  496007         -19.991
  496008         -19.983
  496009         -19.979
  496010         -19.973
  496011         -19.984
  496012         -19.982
  496013         -19.976
  496014         -19.970
  496015         -19.970
  496016         -19.970
  496017         -19.965
  496018         -19.965
  496019         -19.965
  496020         -19.967
  496021         -19.975
  496022         -19.964
  496023         -19.972
  496024         -19.976
  496025         -19.972
  496026         -19.969
  496027         -19.964
  496028         -19.964
  496029         -19.966
  496030         -19.971
  496031         -19.971
  496032         -19.974
  496033         -19.972
  496034         -19.974
  496035         -19.973
  496036         -19.960
  496037         -19.962
  496038         -19.971
  496039         -19.964
  496040         -19.968
  496041         -19.983
  496042         -19.986
  496043         -19.978
  496044         -19.976
  496045         -19.983
  496046         -19.983
  496047         -19.981
  496048         -19.976
  496049         -19.977
  496050         -19.980
  496051         -19.984
  496052         -19.975
  496053         -19.986
  496054         -19.988
  496055         -19.989
  496056         -19.977
  496057         -19.994
  496058         -19.992
  496059         -19.992
  496060         -19.986
  496061         -19.985
  496062         -19.989
  496063         -19.991
  496064         -19.988
  496065         -19.988
  496066         -19.983
  496067         -19.986
  496068         -19.991
  496069         -19.992
  496070         -19.987
  496071         -19.981
  496072         -19.982
  496073         -19.984
  496074         -19.986
  496075         -19.978
  496076         -19.988
  496077         -19.991
  496078         -19.988
  496079         -19.986
  496080         -19.989
  496081         -19.986
  496082         -19.986
  496083         -19.983
  496084         -19.987
  496085         -19.994
  496086         -19.998
  496087         -20.006
  496088         -20.008
  496089         -20.011
  496090         -20.004
  496091         -20.004
  496092         -20.009
  496093         -20.014
  496094         -20.019
  496095         -20.029
  496096         -20.022
  496097         -20.033
  496098         -20.037
  496099         -20.034
  496100         -20.046
  496101         -20.035
  496102         -20.032
  496103         -20.035
  496104         -20.040
  496105         -20.040
  496106         -20.047
  496107         -20.048
  496108         -20.032
  496109         -20.040
  496110         -20.038
  496111         -20.038
  496112         -20.045
  496113         -20.054
  496114         -20.048
  496115         -20.048
  496116         -20.055
  496117         -20.061
  496118         -20.062
  496119         -20.073
  496120         -20.075
  496121         -20.078
  496122         -20.093
  496123         -20.087
  496124         -20.083
  496125         -20.090
  496126         -20.089
  496127         -20.089
  496128         -20.096
  496129         -20.095
  496130         -20.097
  496131         -20.101
  496132         -20.092
  496133         -20.092
  496134         -20.078
  496135         -20.072
  496136         -20.077
  496137         -20.076
  496138         -20.088
  496139         -20.085
  496140         -20.090
  496141         -20.089
  496142         -20.089
  496143         -20.078
  496144         -20.077
  496145         -20.070
  496146         -20.081
  496147         -20.073
  496148         -20.067
  496149         -20.073
  496150         -20.074
  496151         -20.066
  496152         -20.061
  496153         -20.067
  496154         -20.076
  496155         -20.072
  496156         -20.065
  496157         -20.063
  496158         -20.065
  496159         -20.065
  496160         -20.072
  496161         -20.074
  496162         -20.073
  496163         -20.083
  496164         -20.081
  496165         -20.080
  496166         -20.081
  496167         -20.069
  496168         -20.072
  496169         -20.070
  496170         -20.073
  496171         -20.078
  496172         -20.083
  496173         -20.075
  496174         -20.087
  496175         -20.081
  496176         -20.077
  496177         -20.080
  496178         -20.073
  496179         -20.067
  496180         -20.066
  496181         -20.067
  496182         -20.069
  496183         -20.067
  496184         -20.087
  496185         -20.092
  496186         -20.090
  496187         -20.099
  496188         -20.106
  496189         -20.101
  496190         -20.101
  496191         -20.109
  496192         -20.112
  496193         -20.110
  496194         -20.107
  496195         -20.110
  496196         -20.109
  496197         -20.113
  496198         -20.099
  496199         -20.104
  496200         -20.098
  496201         -20.099
  496202         -20.102
  496203         -20.108
  496204         -20.106
  496205         -20.104
  496206         -20.103
  496207         -20.107
  496208         -20.094
  496209         -20.091
  496210         -20.089
  496211         -20.094
  496212         -20.096
  496213         -20.096
  496214         -20.102
  496215         -20.093
  496216         -20.086
  496217         -20.088
  496218         -20.084
  496219         -20.093
  496220         -20.090
  496221         -20.090
  496222         -20.087
  496223         -20.094
  496224         -20.093
  496225         -20.096
  496226         -20.088
  496227         -20.082
  496228         -20.092
  496229         -20.081
  496230         -20.070
  496231         -20.075
  496232         -20.085
  496233         -20.083
  496234         -20.086
  496235         -20.104
  496236         -20.102
  496237         -20.100
  496238         -20.088
  496239         -20.081
  496240         -20.079
  496241         -20.082
  496242         -20.079
  496243         -20.082
  496244         -20.085
  496245         -20.086
  496246         -20.077
  496247         -20.076
  496248         -20.074
  496249         -20.082
  496250         -20.077
  496251         -20.084
  496252         -20.084
  496253         -20.098
  496254         -20.087
  496255         -20.088
  496256         -20.081
  496257         -20.083
  496258         -20.091
  496259         -20.094
  496260         -20.090
  496261         -20.093
  496262         -20.091
  496263         -20.094
  496264         -20.085
  496265         -20.094
  496266         -20.101
  496267         -20.103
  496268         -20.103
  496269         -20.108
  496270         -20.111
  496271         -20.106
  496272         -20.100
  496273         -20.094
  496274         -20.097
  496275         -20.101
  496276         -20.103
  496277         -20.108
  496278         -20.109
  496279         -20.101
  496280         -20.102
  496281         -20.094
  496282         -20.098
  496283         -20.101
  496284         -20.092
  496285         -20.087
  496286         -20.092
  496287         -20.090
  496288         -20.095
  496289         -20.093
  496290         -20.078
  496291         -20.084
  496292         -20.082
  496293         -20.076
  496294         -20.084
  496295         -20.087
  496296         -20.073
  496297         -20.072
  496298         -20.070
  496299         -20.078
  496300         -20.075
  496301         -20.077
  496302         -20.078
  496303         -20.088
  496304         -20.074
  496305         -20.077
  496306         -20.081
  496307         -20.085
  496308         -20.081
  496309         -20.079
  496310         -20.092
  496311         -20.090
  496312         -20.087
  496313         -20.089
  496314         -20.091
  496315         -20.095
  496316         -20.093
  496317         -20.110
  496318         -20.105
  496319         -20.104
  496320         -20.112
  496321         -20.104
  496322         -20.110
  496323         -20.104
  496324         -20.098
  496325         -20.115
  496326         -20.108
  496327         -20.107
  496328         -20.107
  496329         -20.113
  496330         -20.117
  496331         -20.116
  496332         -20.107
  496333         -20.105
  496334         -20.102
  496335         -20.110
  496336         -20.118
  496337         -20.121
  496338         -20.131
  496339         -20.120
  496340         -20.128
  496341         -20.119
  496342         -20.121
  496343         -20.128
  496344         -20.127
  496345         -20.132
  496346         -20.134
  496347         -20.129
  496348         -20.124
  496349         -20.122
  496350         -20.117
  496351         -20.125
  496352         -20.132
  496353         -20.127
  496354         -20.132
  496355         -20.145
  496356         -20.147
  496357         -20.136
  496358         -20.134
  496359         -20.133
  496360         -20.139
  496361         -20.135
  496362         -20.139
  496363         -20.147
  496364         -20.148
  496365         -20.146
  496366         -20.157
  496367         -20.145
  496368         -20.154
  496369         -20.156
  496370         -20.163
  496371         -20.160
  496372         -20.153
  496373         -20.151
  496374         -20.166
  496375         -20.160
  496376         -20.166
  496377         -20.176
  496378         -20.180
  496379         -20.164
  496380         -20.175
  496381         -20.183
  496382         -20.175
  496383         -20.181
  496384         -20.177
  496385         -20.184
  496386         -20.178
  496387         -20.180
  496388         -20.181
  496389         -20.178
  496390         -20.185
  496391         -20.176
  496392         -20.178
  496393         -20.175
  496394         -20.172
  496395         -20.171
  496396         -20.167
  496397         -20.172
  496398         -20.173
  496399         -20.166
  496400         -20.172
  496401         -20.177
  496402         -20.171
  496403         -20.181
  496404         -20.184
  496405         -20.183
  496406         -20.169
  496407         -20.174
  496408         -20.178
  496409         -20.189
  496410         -20.174
  496411         -20.169
  496412         -20.157
  496413         -20.166
  496414         -20.161
  496415         -20.178
  496416         -20.186
  496417         -20.169
  496418         -20.179
  496419         -20.170
  496420         -20.174
  496421         -20.205
  496422         -20.171
  496423         -20.163
  496424         -20.151
  496425         -20.168
  496426         -20.165
  496427         -20.167
  496428         -20.165
  496429         -20.149
  496430         -20.159
  496431         -20.148
  496432         -20.139
  496433         -20.143
  496434         -20.144
  496435         -20.140
  496436         -20.144
  496437         -20.155
  496438         -20.152
  496439         -20.164
  496440         -20.159
  496441         -20.166
  496442         -20.163
  496443         -20.177
  496444         -20.178
  496445         -20.177
  496446         -20.175
  496447         -20.175
  496448         -20.167
  496449         -20.167
  496450         -20.168
  496451         -20.170
  496452         -20.159
  496453         -20.153
  496454         -20.153
  496455         -20.144
  496456         -20.147
  496457         -20.154
  496458         -20.143
  496459         -20.150
  496460         -20.147
  496461         -20.142
  496462         -20.138
  496463         -20.123
  496464         -20.133
  496465         -20.137
  496466         -20.136
  496467         -20.138
  496468         -20.141
  496469         -20.132
  496470         -20.129
  496471         -20.141
  496472         -20.137
  496473         -20.136
  496474         -20.133
  496475         -20.137
  496476         -20.140
  496477         -20.137
  496478         -20.128
  496479         -20.133
  496480         -20.142
  496481         -20.139
  496482         -20.146
  496483         -20.149
  496484         -20.148
  496485         -20.142
  496486         -20.137
  496487         -20.141
  496488         -20.138
  496489         -20.134
  496490         -20.134
  496491         -20.135
  496492         -20.130
  496493         -20.132
  496494         -20.132
  496495         -20.137
  496496         -20.136
  496497         -20.133
  496498         -20.134
  496499         -20.118
  496500         -20.126
  496501         -20.121
  496502         -20.125
  496503         -20.133
  496504         -20.137
  496505         -20.130
  496506         -20.124
  496507         -20.117
  496508         -20.121
  496509         -20.112
  496510         -20.111
  496511         -20.109
  496512         -20.116
  496513         -20.108
  496514         -20.118
  496515         -20.102
  496516         -20.114
  496517         -20.113
  496518         -20.119
  496519         -20.113
  496520         -20.120
  496521         -20.118
  496522         -20.119
  496523         -20.115
  496524         -20.117
  496525         -20.117
  496526         -20.117
  496527         -20.116
  496528         -20.114
  496529         -20.114
  496530         -20.112
  496531         -20.121
  496532         -20.115
  496533         -20.118
  496534         -20.108
  496535         -20.109
  496536         -20.103
  496537         -20.110
  496538         -20.117
  496539         -20.120
  496540         -20.114
  496541         -20.116
  496542         -20.117
  496543         -20.114
  496544         -20.110
  496545         -20.117
  496546         -20.118
  496547         -20.115
  496548         -20.119
  496549         -20.119
  496550         -20.114
  496551         -20.117
  496552         -20.120
  496553         -20.122
  496554         -20.122
  496555         -20.128
  496556         -20.127
  496557         -20.127
  496558         -20.130
  496559         -20.127
  496560         -20.134
  496561         -20.131
  496562         -20.138
  496563         -20.138
  496564         -20.145
  496565         -20.141
  496566         -20.136
  496567         -20.134
  496568         -20.133
  496569         -20.134
  496570         -20.131
  496571         -20.131
  496572         -20.119
  496573         -20.108
  496574         -20.096
  496575         -20.099
  496576         -20.103
  496577         -20.097
  496578         -20.113
  496579         -20.108
  496580         -20.106
  496581         -20.103
  496582         -20.111
  496583         -20.120
  496584         -20.111
  496585         -20.111
  496586         -20.099
  496587         -20.098
  496588         -20.097
  496589         -20.094
  496590         -20.095
  496591         -20.099
  496592         -20.096
  496593         -20.098
  496594         -20.107
  496595         -20.094
  496596         -20.100
  496597         -20.090
  496598         -20.105
  496599         -20.100
  496600         -20.107
  496601         -20.097
  496602         -20.098
  496603         -20.098
  496604         -20.107
  496605         -20.100
  496606         -20.112
  496607         -20.103
  496608         -20.096
  496609         -20.094
  496610         -20.088
  496611         -20.085
  496612         -20.097
  496613         -20.092
  496614         -20.103
  496615         -20.102
  496616         -20.101
  496617         -20.103
  496618         -20.111
  496619         -20.121
  496620         -20.113
  496621         -20.124
  496622         -20.114
  496623         -20.120
  496624         -20.117
  496625         -20.122
  496626         -20.127
  496627         -20.124
  496628         -20.124
  496629         -20.123
  496630         -20.139
  496631         -20.131
  496632         -20.135
  496633         -20.143
  496634         -20.136
  496635         -20.123
  496636         -20.129
  496637         -20.127
  496638         -20.133
  496639         -20.127
  496640         -20.134
  496641         -20.135
  496642         -20.133
  496643         -20.141
  496644         -20.144
  496645         -20.146
  496646         -20.140
  496647         -20.149
  496648         -20.141
  496649         -20.145
  496650         -20.150
  496651         -20.145
  496652         -20.154
  496653         -20.144
  496654         -20.139
  496655         -20.142
  496656         -20.145
  496657         -20.150
  496658         -20.153
  496659         -20.147
  496660         -20.153
  496661         -20.149
  496662         -20.140
  496663         -20.151
  496664         -20.149
  496665         -20.137
  496666         -20.144
  496667         -20.138
  496668         -20.147
  496669         -20.148
  496670         -20.147
  496671         -20.153
  496672         -20.152
  496673         -20.161
  496674         -20.151
  496675         -20.158
  496676         -20.164
  496677         -20.157
  496678         -20.154
  496679         -20.152
  496680         -20.151
  496681         -20.149
  496682         -20.149
  496683         -20.150
  496684         -20.145
  496685         -20.145
  496686         -20.157
  496687         -20.159
  496688         -20.158
  496689         -20.152
  496690         -20.145
  496691         -20.147
  496692         -20.148
  496693         -20.154
  496694         -20.149
  496695         -20.149
  496696         -20.148
  496697         -20.151
  496698         -20.153
  496699         -20.153
  496700         -20.148
  496701         -20.154
  496702         -20.156
  496703         -20.154
  496704         -20.163
  496705         -20.161
  496706         -20.160
  496707         -20.152
  496708         -20.163
  496709         -20.166
  496710         -20.169
  496711         -20.160
  496712         -20.158
  496713         -20.159
  496714         -20.168
  496715         -20.167
  496716         -20.174
  496717         -20.173
  496718         -20.178
  496719         -20.194
  496720         -20.188
  496721         -20.189
  496722         -20.196
  496723         -20.192
  496724         -20.197
  496725         -20.200
  496726         -20.198
  496727         -20.199
  496728         -20.202
  496729         -20.204
  496730         -20.213
  496731         -20.206
  496732         -20.201
  496733         -20.208
  496734         -20.210
  496735         -20.218
  496736         -20.226
  496737         -20.214
  496738         -20.222
  496739         -20.235
  496740         -20.240
  496741         -20.237
  496742         -20.240
  496743         -20.234
  496744         -20.235
  496745         -20.246
  496746         -20.245
  496747         -20.247
  496748         -20.251
  496749         -20.257
  496750         -20.260
  496751         -20.263
  496752         -20.264
  496753         -20.264
  496754         -20.261
  496755         -20.262
  496756         -20.262
  496757         -20.262
  496758         -20.263
  496759         -20.264
  496760         -20.273
  496761         -20.273
  496762         -20.282
  496763         -20.269
  496764         -20.277
  496765         -20.282
  496766         -20.280
  496767         -20.288
  496768         -20.282
  496769         -20.285
  496770         -20.288
  496771         -20.289
  496772         -20.296
  496773         -20.279
  496774         -20.291
  496775         -20.287
  496776         -20.287
  496777         -20.282
  496778         -20.300
  496779         -20.287
  496780         -20.290
  496781         -20.289
  496782         -20.302
  496783         -20.302
  496784         -20.298
  496785         -20.294
  496786         -20.291
  496787         -20.292
  496788         -20.291
  496789         -20.282
  496790         -20.289
  496791         -20.297
  496792         -20.293
  496793         -20.293
  496794         -20.298
  496795         -20.304
  496796         -20.312
  496797         -20.306
  496798         -20.314
  496799         -20.306
  496800         -20.296
  496801         -20.297
  496802         -20.294
  496803         -20.306
  496804         -20.304
  496805         -20.291
  496806         -20.290
  496807         -20.297
  496808         -20.289
  496809         -20.299
  496810         -20.308
  496811         -20.317
  496812         -20.321
  496813         -20.323
  496814         -20.326
  496815         -20.336
  496816         -20.318
  496817         -20.305
  496818         -20.311
  496819         -20.303
  496820         -20.311
  496821         -20.319
  496822         -20.324
  496823         -20.310
  496824         -20.303
  496825         -20.305
  496826         -20.312
  496827         -20.311
  496828         -20.317
  496829         -20.326
  496830         -20.322
  496831         -20.328
  496832         -20.325
  496833         -20.320
  496834         -20.323
  496835         -20.321
  496836         -20.317
  496837         -20.316
  496838         -20.321
  496839         -20.311
  496840         -20.309
  496841         -20.324
  496842         -20.318
  496843         -20.334
  496844         -20.324
  496845         -20.331
  496846         -20.337
  496847         -20.331
  496848         -20.332
  496849         -20.338
  496850         -20.336
  496851         -20.333
  496852         -20.331
  496853         -20.345
  496854         -20.340
  496855         -20.332
  496856         -20.342
  496857         -20.328
  496858         -20.335
  496859         -20.351
  496860         -20.331
  496861         -20.329
  496862         -20.340
  496863         -20.335
  496864         -20.327
  496865         -20.329
  496866         -20.332
  496867         -20.334
  496868         -20.325
  496869         -20.317
  496870         -20.316
  496871         -20.318
  496872         -20.324
  496873         -20.321
  496874         -20.317
  496875         -20.315
  496876         -20.320
  496877         -20.303
  496878         -20.281
  496879         -20.301
  496880         -20.300
  496881         -20.296
  496882         -20.295
  496883         -20.296
  496884         -20.297
  496885         -20.302
  496886         -20.305
  496887         -20.310
  496888         -20.308
  496889         -20.302
  496890         -20.304
  496891         -20.316
  496892         -20.322
  496893         -20.322
  496894         -20.322
  496895         -20.316
  496896         -20.317
  496897         -20.318
  496898         -20.314
