Epoch    Height
  495703         -19.483
  495704         -19.499
  495705         -19.527
  495706         -19.555
  495707         -19.619
  495708         -19.662
  495709         -19.698
  495710         -19.747
  495711         -19.811
  495712         -19.837
  495713         -19.874
  495714         -19.882
  495715         -19.914
  495716         -19.945
  495717         -19.985
  495718         -19.998
  495719         -20.026
  495720         -20.058
  495721         -20.093
  495722         -20.120
  495723         -20.147
  495724         -20.179
  495725         -20.208
  495726         -20.209
  495727         -20.224
  495728         -20.240
  495729         -20.257
  495730         -20.262
  495731         -20.278
  495732         -20.282
  495733         -20.290
  495734         -20.294
  495735         -20.294
  495736         -20.283
  495737         -20.283
  495738         -20.300
  495739         -20.336
  495740         -20.355
  495741         -20.371
  495742         -20.377
  495743         -20.377
  495744         -20.379
  495745         -20.388
  495746         -20.389
  495747         -20.380
  495748         -20.376
  495749         -20.368
  495750         -20.365
  495751         -20.373
  495752         -20.374
  495753         -20.370
  495754         -20.361
  495755         -20.356
  495756         -20.354
  495757         -20.351
  495758         -20.349
  495759         -20.348
  495760         -20.340
  495761         -20.348
  495762         -20.350
  495763         -20.341
  495764         -20.336
  495765         -20.337
  495766         -20.333
  495767         -20.330
  495768         -20.328
  495769         -20.336
  495770         -20.329
  495771         -20.323
  495772         -20.319
  495773         -20.306
  495774         -20.294
  495775         -20.293
  495776         -20.293
  495777         -20.285
  495778         -20.267
  495779         -20.261
  495780         -20.249
  495781         -20.244
  495782         -20.236
  495783         -20.202
  495784         -20.191
  495785         -20.178
  495786         -20.165
  495787         -20.147
  495788         -20.139
  495789         -20.126
  495790         -20.128
  495791         -20.119
  495792         -20.126
  495793         -20.104
  495794         -20.088
  495795         -20.090
  495796         -20.074
  495797         -20.080
  495798         -20.060
  495799         -20.059
  495800         -20.032
  495801         -20.030
  495802         -20.014
  495803         -20.006
  495804         -20.012
  495805         -19.997
  495806         -19.979
  495807         -19.968
  495808         -19.967
  495809         -19.954
  495810         -19.945
  495811         -19.938
  495812         -19.928
  495813         -19.922
  495814         -19.911
  495815         -19.900
  495816         -19.898
  495817         -19.879
  495818         -19.877
  495819         -19.864
  495820         -19.842
  495821         -19.843
  495822         -19.833
  495823         -19.828
  495824         -19.828
  495825         -19.822
  495826         -19.810
  495827         -19.818
  495828         -19.807
  495829         -19.800
  495830         -19.798
  495831         -19.795
  495832         -19.783
  495833         -19.780
  495834         -19.759
  495835         -19.750
  495836         -19.748
  495837         -19.745
  495838         -19.730
  495839         -19.723
  495840         -19.715
  495841         -19.724
  495842         -19.722
  495843         -19.717
  495844         -19.710
  495845         -19.705
  495846         -19.694
  495847         -19.685
  495848         -19.671
  495849         -19.668
  495850         -19.670
  495851         -19.653
  495852         -19.477
  495853         -19.514
  495854         -19.500
  495855         -19.512
  495856         -19.517
  495857         -19.534
  495858         -19.524
  495859         -19.523
  495860         -19.497
  495861         -19.488
  495862         -19.513
  495863         -19.497
  495864         -19.505
  495865         -19.517
  495866         -19.505
  495867         -19.502
  495868         -19.506
  495869         -19.510
  495870         -19.512
  495871         -19.504
  495872         -19.508
  495873         -19.510
  495874         -19.519
  495875         -19.513
  495876         -19.513
  495877         -19.520
  495878         -19.524
  495879         -19.523
  495880         -19.529
  495881         -19.518
  495882         -19.503
  495883         -19.500
  495884         -19.510
  495885         -19.521
  495886         -19.522
  495887         -19.521
  495888         -19.519
  495889         -19.537
  495890         -19.539
  495891         -19.526
  495892         -19.522
  495893         -19.521
  495894         -19.522
  495895         -19.521
  495896         -19.521
  495897         -19.524
  495898         -19.538
  495899         -19.526
  495900         -19.530
  495901         -19.538
  495902         -19.535
  495903         -19.540
  495904         -19.549
  495905         -19.546
  495906         -19.541
  495907         -19.542
  495908         -19.555
  495909         -19.567
  495910         -19.566
  495911         -19.576
  495912         -19.578
  495913         -19.578
  495914         -19.579
  495915         -19.581
  495916         -19.570
  495917         -19.583
  495918         -19.595
  495919         -19.596
  495920         -19.604
  495921         -19.614
  495922         -19.608
  495923         -19.606
  495924         -19.610
  495925         -19.622
  495926         -19.639
  495927         -19.636
  495928         -19.634
  495929         -19.643
  495930         -19.642
  495931         -19.645
  495932         -19.663
  495933         -19.659
  495934         -19.665
  495935         -19.663
  495936         -19.679
  495937         -19.681
  495938         -19.681
  495939         -19.689
  495940         -19.683
  495941         -19.705
  495942         -19.701
  495943         -19.714
  495944         -19.712
  495945         -19.727
  495946         -19.738
  495947         -19.737
  495948         -19.721
  495949         -19.712
  495950         -19.710
  495951         -19.717
  495952         -19.703
  495953         -19.705
  495954         -19.706
  495955         -19.726
  495956         -19.724
  495957         -19.727
  495958         -19.727
  495959         -19.733
  495960         -19.726
  495961         -19.728
  495962         -19.722
  495963         -19.722
  495964         -19.722
  495965         -19.723
  495966         -19.729
  495967         -19.720
  495968         -19.704
  495969         -19.701
  495970         -19.711
  495971         -19.711
  495972         -19.712
  495973         -19.710
  495974         -19.718
  495975         -19.722
  495976         -19.728
  495977         -19.727
  495978         -19.739
  495979         -19.748
  495980         -19.752
  495981         -19.749
  495982         -19.750
  495983         -19.741
  495984         -19.744
  495985         -19.739
  495986         -19.745
  495987         -19.747
  495988         -19.749
  495989         -19.743
  495990         -19.751
  495991         -19.767
  495992         -19.779
  495993         -19.784
  495994         -19.778
  495995         -19.790
  495996         -19.795
  495997         -19.796
  495998         -19.796
  495999         -19.802
  496000         -19.801
  496001         -19.802
  496002         -19.813
  496003         -19.825
  496004         -19.816
  496005         -19.820
  496006         -19.837
  496007         -19.848
  496008         -19.846
  496009         -19.849
  496010         -19.853
  496011         -19.867
  496012         -19.868
  496013         -19.876
  496014         -19.869
  496015         -19.878
  496016         -19.878
  496017         -19.876
  496018         -19.880
  496019         -19.879
  496020         -19.888
  496021         -19.901
  496022         -19.904
  496023         -19.923
  496024         -19.932
  496025         -19.938
  496026         -19.929
  496027         -19.928
  496028         -19.931
  496029         -19.938
  496030         -19.942
  496031         -19.947
  496032         -19.961
  496033         -19.964
  496034         -19.970
  496035         -19.968
  496036         -19.961
  496037         -19.960
  496038         -19.968
  496039         -19.970
  496040         -19.980
  496041         -19.992
  496042         -19.997
  496043         -19.993
  496044         -19.996
  496045         -20.000
  496046         -19.993
  496047         -19.985
  496048         -19.986
  496049         -19.993
  496050         -19.998
  496051         -20.000
  496052         -19.990
  496053         -20.001
  496054         -20.006
  496055         -20.008
  496056         -20.003
  496057         -20.016
  496058         -20.018
  496059         -20.019
  496060         -20.022
  496061         -20.022
  496062         -20.030
  496063         -20.034
  496064         -20.038
  496065         -20.035
  496066         -20.041
  496067         -20.051
  496068         -20.067
  496069         -20.069
  496070         -20.079
  496071         -20.077
  496072         -20.087
  496073         -20.111
  496074         -20.129
  496075         -20.125
  496076         -20.146
  496077         -20.160
  496078         -20.173
  496079         -20.175
  496080         -20.188
  496081         -20.193
  496082         -20.204
  496083         -20.210
  496084         -20.218
  496085         -20.232
  496086         -20.243
  496087         -20.255
  496088         -20.253
  496089         -20.270
  496090         -20.274
  496091         -20.284
  496092         -20.293
  496093         -20.302
  496094         -20.305
  496095         -20.309
  496096         -20.318
  496097         -20.335
  496098         -20.334
  496099         -20.339
  496100         -20.351
  496101         -20.344
  496102         -20.355
  496103         -20.366
  496104         -20.370
  496105         -20.383
  496106         -20.399
  496107         -20.408
  496108         -20.410
  496109         -20.414
  496110         -20.420
  496111         -20.406
  496112         -20.429
  496113         -20.433
  496114         -20.437
  496115         -20.448
  496116         -20.470
  496117         -20.482
  496118         -20.473
  496119         -20.485
  496120         -20.495
  496121         -20.510
  496122         -20.511
  496123         -20.501
  496124         -20.478
  496125         -20.485
  496126         -20.492
  496127         -20.500
  496128         -20.491
  496129         -20.490
  496130         -20.491
  496131         -20.483
  496132         -20.479
  496133         -20.496
  496134         -20.482
  496135         -20.459
  496136         -20.462
  496137         -20.478
  496138         -20.482
  496139         -20.498
  496140         -20.521
  496141         -20.526
  496142         -20.525
  496143         -20.510
  496144         -20.519
  496145         -20.500
  496146         -20.508
  496147         -20.506
  496148         -20.492
  496149         -20.511
  496150         -20.521
  496151         -20.529
  496152         -20.520
  496153         -20.529
  496154         -20.537
  496155         -20.531
  496156         -20.527
  496157         -20.537
  496158         -20.549
  496159         -20.546
  496160         -20.562
  496161         -20.569
  496162         -20.560
  496163         -20.574
  496164         -20.564
  496165         -20.566
  496166         -20.553
  496167         -20.563
  496168         -20.581
  496169         -20.604
  496170         -20.639
  496171         -20.654
  496172         -20.672
  496173         -20.678
  496174         -20.686
  496175         -20.699
  496176         -20.681
  496177         -20.677
  496178         -20.659
  496179         -20.667
  496180         -20.672
  496181         -20.665
  496182         -20.696
  496183         -20.709
