Epoch    Height
  495703          -8.237
  495704          -7.847
  495705          -7.889
  495706          -9.027
  495707          -9.357
  495708          -9.444
  495709          -9.297
  495710          -9.501
  495711          -9.545
  495712          -9.199
  495713          -9.259
  495714          -9.500
  495715          -9.776
  495716          -9.476
  495717          -9.544
  495718          -9.232
  495719          -9.070
  495720          -9.352
  495721          -9.435
  495722          -9.567
  495723          -9.452
  495724         -10.017
  495725         -10.842
  495726         -11.229
  495727         -11.049
  495728         -11.195
  495729         -11.336
  495730         -10.457
  495731          -9.934
  495732          -9.449
  495733          -9.102
  495734          -8.377
  495735          -8.638
  495736          -8.944
  495737          -9.267
  495738         -10.202
  495739         -10.544
  495740         -10.820
  495741         -10.383
  495742         -10.354
  495743         -10.593
  495744         -10.789
  495745         -10.654
  495746         -10.281
  495747         -10.146
  495748          -9.810
  495749          -9.634
  495750          -8.904
  495751          -8.898
  495752          -8.488
  495753          -8.215
  495754          -8.341
  495755          -8.086
  495756          -8.439
  495757          -8.864
  495758          -9.628
  495759          -9.765
  495760          -9.859
  495761         -10.148
  495762         -10.400
  495763         -10.511
  495764         -10.095
  495765         -10.447
  495766         -10.801
  495767         -10.614
  495768         -10.689
  495769         -10.523
  495770         -10.100
  495771         -10.086
  495772          -9.682
  495773          -9.566
  495774          -9.222
  495775          -8.926
  495776          -8.775
  495777          -8.538
  495778          -7.769
  495779          -8.052
  495780          -8.876
  495781          -8.210
  495782          -8.764
  495783          -9.114
  495784          -9.636
  495785          -8.745
  495786         -10.961
  495787         -11.475
  495788         -12.159
  495789         -11.505
  495790         -11.525
  495791         -10.884
  495792          -9.224
  495793          -9.773
  495794         -12.259
  495795         -12.498
  495796         -12.123
  495797         -12.382
  495798         -12.944
  495799         -11.659
  495800         -11.116
  495801         -11.430
  495802         -11.613
  495803         -11.775
  495804         -12.166
  495805         -12.026
  495806         -12.020
  495807         -11.841
  495808         -11.678
  495809         -11.626
  495810          -8.728
  495811          -7.848
  495812          -8.515
  495813          -7.913
  495814          -8.464
  495815          -8.682
  495816         -10.064
  495817         -10.720
  495818         -10.380
  495819         -10.307
  495820         -10.684
  495821          -9.980
  495822          -9.945
  495823         -10.992
  495824         -10.277
  495825         -11.218
  495826         -11.716
  495827         -11.732
  495828         -11.590
  495829         -11.563
  495830         -11.145
  495831         -10.599
  495832          -9.472
  495833          -8.313
  495834          -7.725
  495835          -7.433
  495836          -6.787
  495837          -9.045
  495838          -5.360
  495839          -5.670
  495840          -5.218
  495841          -4.258
  495842          -3.002
  495843          -2.253
  495844          -2.673
  495845          -2.795
  495846          -2.878
  495847          -2.979
  495848          -3.186
  495849          -3.434
  495850          -3.522
  495851          -3.901
  495852          -4.408
  495853          -5.002
  495854          -5.523
  495855          -6.293
  495856          -8.771
  495857          -8.832
  495858          -8.510
  495859         -10.050
  495860         -10.646
  495861          -9.824
  495862          -9.369
  495863          -8.897
  495864          -8.753
  495865          -8.971
  495866          -8.912
  495867          -8.927
  495868          -8.651
  495869          -8.697
  495870          -8.600
  495871          -8.478
  495872          -8.676
  495873          -8.624
  495874          -8.982
  495875          -8.494
  495876          -8.207
  495877          -7.580
  495878          -7.578
  495879          -6.862
  495880          -6.766
  495881          -6.781
  495882          -6.632
  495883          -6.663
  495884          -6.908
  495885          -7.028
  495886          -7.173
  495887          -7.571
  495888          -8.068
  495889          -8.407
  495890          -9.124
  495891          -9.280
  495892          -9.057
  495893          -8.896
  495894          -8.759
  495895          -8.752
  495896          -9.142
  495897          -9.378
  495898          -8.886
  495899          -8.646
  495900          -8.678
  495901          -8.838
  495902          -8.665
  495903          -9.581
  495904          -9.889
  495905         -10.036
  495906          -9.751
  495907          -9.510
  495908          -9.375
  495909          -9.485
  495910          -9.060
  495911          -8.918
  495912          -8.775
  495913          -8.849
  495914          -8.900
  495915          -8.612
  495916          -8.984
  495917          -9.130
  495918          -9.053
  495919          -9.191
  495920          -9.690
  495921          -9.917
  495922         -10.056
  495923         -10.190
  495924         -10.162
  495925         -10.048
  495926          -9.287
  495927          -8.854
  495928          -8.861
  495929          -9.464
  495930          -9.728
  495931          -9.662
  495932          -9.860
  495933         -10.130
  495934         -10.378
  495935         -10.473
  495936         -10.374
  495937         -10.475
  495938         -10.477
  495939         -10.204
  495940          -9.834
  495941          -9.532
  495942          -9.546
  495943          -9.546
  495944         -11.001
  495945         -10.649
  495946         -11.151
  495947         -11.460
  495948         -11.024
  495949         -10.233
  495950          -9.972
  495951          -9.921
  495952          -9.968
  495953          -9.562
  495954          -9.712
  495955         -10.102
  495956         -10.439
  495957         -11.252
  495958         -10.646
  495959          -9.989
  495960          -9.754
  495961          -9.315
  495962          -8.956
  495963          -9.402
  495964          -9.117
  495965          -9.511
  495966          -9.186
  495967          -8.596
  495968          -8.282
  495969          -8.002
  495970          -8.321
  495971          -8.000
  495972          -6.941
  495973          -6.867
  495974          -7.351
  495975          -7.960
  495976          -8.172
  495977          -8.383
  495978          -8.736
  495979          -8.962
  495980          -8.220
  495981          -8.537
  495982          -8.287
  495983          -8.256
  495984          -8.573
  495985          -8.505
  495986          -7.984
  495987          -8.661
  495988          -9.406
  495989          -9.406
  495990          -9.152
  495991          -9.270
  495992          -8.876
  495993          -8.734
  495994          -9.062
  495995          -9.565
  495996          -7.785
  495997          -7.839
  495998          -7.890
  495999          -7.898
  496000          -8.275
  496001          -8.536
  496002          -8.658
  496003          -8.243
  496004          -8.187
  496005          -8.058
  496006          -7.885
  496007          -7.873
  496008          -6.959
  496009          -6.380
  496010          -6.134
  496011          -5.619
  496012          -5.989
  496013          -6.477
  496014          -6.796
  496015          -6.948
  496016          -2.508
  496017          -7.160
  496018          -6.941
  496019          -6.556
  496020          -6.697
  496021          -6.509
  496022          -6.592
  496023          -7.508
  496024          -8.102
  496025          -8.169
  496026          -7.703
  496027          -7.601
  496028          -7.859
  496029          -8.246
  496030          -7.530
  496031          -7.165
  496032          -7.455
  496033          -7.834
  496034          -7.502
  496035          -7.158
  496036          -6.682
  496037          -6.495
  496038          -7.564
  496039          -7.438
  496040          -7.809
  496041          -8.850
  496042          -8.350
  496043          -7.899
  496044          -7.657
  496045          -7.548
  496046          -7.488
  496047          -7.457
  496048          -7.415
  496049          -7.246
  496050          -7.415
  496051          -7.301
  496052          -6.971
  496053          -7.702
  496054          -7.428
  496055          -7.415
  496056          -7.419
  496057          -7.453
  496058          -7.323
  496059          -7.442
  496060          -7.732
  496061          -7.865
  496062          -8.172
  496063          -8.667
  496064          -8.854
  496065          -8.876
  496066          -9.237
  496067          -9.451
  496068          -9.550
  496069          -9.287
  496070          -8.946
  496071          -8.355
  496072          -8.122
  496073          -8.115
  496074          -8.052
  496075          -7.708
  496076          -7.888
  496077          -7.312
  496078          -6.998
  496079          -6.430
  496080          -6.895
  496081          -7.335
  496082          -7.340
  496083          -7.689
  496084          -7.832
  496085          -7.846
  496086          -8.001
  496087          -8.359
  496088          -8.818
  496089          -9.142
  496090          -9.591
  496091          -9.596
  496092          -9.643
  496093          -9.536
  496094          -9.486
  496095          -9.411
  496096          -9.030
  496097          -9.171
  496098         -10.166
  496099         -10.590
  496100         -11.180
  496101         -11.341
  496102         -11.285
  496103         -11.652
  496104         -11.185
  496105         -11.679
  496106         -11.558
  496107          -9.782
  496108         -10.022
  496109         -10.303
  496110         -10.125
  496111         -10.488
  496112          -9.556
  496113          -9.329
  496114          -9.182
  496115         -10.179
  496116          -9.696
  496117         -11.302
  496118         -12.435
  496119         -12.351
  496120         -13.899
  496121         -13.913
  496122         -12.072
  496123         -13.761
  496124         -11.872
  496125         -10.589
  496126         -10.205
  496127         -10.093
  496128         -10.317
  496129         -10.316
  496130         -10.023
  496131          -8.814
  496132          -8.446
  496133          -9.688
  496134          -8.386
  496135          -8.320
  496136          -8.962
  496137          -9.271
  496138         -12.847
  496139         -12.960
  496140         -12.518
  496141         -12.674
  496142         -11.609
  496143         -11.636
  496144         -12.116
  496145         -11.873
  496146         -11.927
  496147         -11.787
  496148         -11.900
  496149         -12.242
  496150         -11.834
  496151         -11.642
  496152         -11.581
  496153         -11.774
  496154         -11.734
  496155         -12.257
  496156         -11.867
  496157         -11.243
  496158         -11.393
  496159         -11.178
  496160         -11.057
  496161         -10.454
