Epoch   Height
  495703          -4.778
  495704          -5.085
  495705          -5.081
  495706          -3.694
  495707          -3.180
  495708          -2.685
  495709          -2.864
  495710          -2.525
  495711          -2.303
  495712          -2.728
  495713          -2.374
  495714          -2.271
  495715          -2.379
  495716          -2.993
  495717          -3.017
  495718          -3.545
  495719          -4.026
  495720          -3.727
  495721          -3.522
  495722          -3.139
  495723          -3.231
  495724          -1.608
  495725          -0.945
  495726          -0.408
  495727          -0.913
  495728          -0.901
  495729          -0.709
  495730          -1.761
  495731          -3.451
  495732          -4.197
  495733          -4.467
  495734          -4.975
  495735          -4.281
  495736          -3.979
  495737          -3.284
  495738          -3.130
  495739          -2.321
  495740          -1.353
  495741          -1.638
  495742          -1.393
  495743          -0.870
  495744          -0.602
  495745          -1.046
  495746          -1.756
  495747          -1.939
  495748          -1.856
  495749          -2.030
  495750          -3.066
  495751          -2.961
  495752          -3.399
  495753          -4.001
  495754          -3.921
  495755          -4.106
  495756          -3.840
  495757          -3.476
  495758          -2.700
  495759          -2.511
  495760          -2.334
  495761          -2.167
  495762          -1.974
  495763          -2.135
  495764          -2.538
  495765          -1.493
  495766          -0.816
  495767          -1.244
  495768          -1.208
  495769          -1.297
  495770          -1.872
  495771          -2.304
  495772          -3.039
  495773          -3.400
  495774          -3.598
  495775          -3.939
  495776          -4.154
  495777          -4.006
  495778          -4.509
  495779          -4.317
  495780          -3.409
  495781          -4.303
  495782          -3.394
  495783          -2.682
  495784          -1.908
  495785          -3.427
  495786          -0.864
  495787          -0.207
  495788          -0.135
  495789          -0.786
  495790          -0.666
  495791          -1.262
  495792          -3.331
  495793          -2.873
  495794          -0.796
  495795          -0.567
  495796          -0.616
  495797          -0.050
  495798           0.604
  495799          -0.363
  495800          -0.912
  495801          -0.575
  495802          -0.466
  495803          -0.679
  495804          -0.272
  495805          -0.304
  495806          -0.350
  495807          -0.425
  495808          -0.617
  495809          -0.548
  495810          -3.636
  495811          -4.639
  495812          -4.038
  495813          -4.279
  495814          -3.517
  495815          -3.305
  495816          -1.735
  495817          -1.243
  495818          -2.212
  495819          -2.780
  495820          -2.070
  495821          -2.566
  495822          -2.459
  495823          -1.781
  495824          -2.942
  495825          -1.597
  495826          -0.817
  495827          -0.354
  495828          -0.658
  495829          -0.477
  495830          -0.743
  495831          -0.871
  495832          -1.924
  495833          -3.055
  495834          -3.424
  495835          -3.538
  495836          -4.287
  495837          -2.286
  495838          -6.454
  495839          -6.683
  495840          -7.311
  495841          -8.257
  495842          -9.400
  495843          -9.901
  495844          -9.316
  495845          -8.983
  495846          -8.944
  495847          -9.127
  495848          -5.779
  495849          -5.007
  495850          -4.882
  495851          -4.417
  495852          -3.795
  495853          -3.281
  495854          -2.774
  495855          -1.916
  495856           0.776
  495857           0.930
  495858           0.661
  495859           1.916
  495860           2.296
  495861           1.327
  495862           0.546
  495863           0.019
  495864          -0.168
  495865           0.183
  495866          -0.212
  495867          -0.189
  495868          -0.453
  495869          -0.118
  495870          -0.009
  495871          -0.001
  495872           0.441
  495873           0.429
  495874           0.344
  495875          -0.080
  495876          -0.494
  495877          -0.964
  495878          -1.106
  495879          -1.738
  495880          -1.694
  495881          -1.513
  495882          -1.500
  495883          -1.444
  495884          -1.145
  495885          -0.875
  495886          -0.342
  495887          -0.200
  495888           0.229
  495889           0.150
  495890           0.616
  495891           0.635
  495892           0.344
  495893           0.101
  495894          -0.007
  495895          -0.049
  495896           0.442
  495897           0.955
  495898           0.310
  495899           0.236
  495900           0.110
  495901           0.212
  495902          -0.226
  495903           0.871
  495904           1.205
  495905           1.378
  495906           1.165
  495907           0.827
  495908           0.673
  495909           0.854
  495910           0.533
  495911           0.255
  495912           0.223
  495913           1.019
  495914           0.631
  495915           0.661
  495916           1.204
  495917           0.889
  495918           0.646
  495919           0.600
  495920           1.015
  495921           1.313
  495922           1.585
  495923           1.620
  495924           1.605
  495925           1.681
  495926           1.066
  495927           0.666
  495928           0.689
  495929           1.032
  495930           1.010
  495931           0.596
  495932           0.711
