Epoch   Baseline_Difference(m)   e_(m)
  495703           1.093           0.225
  495704           1.094           0.226
  495705           1.093           0.225
  495706           1.091           0.223
  495707           1.089           0.221
  495708           1.090           0.222
  495709           1.088           0.220
  495710           1.086           0.218
  495711           1.081           0.213
  495712           1.087           0.219
  495713           1.090           0.222
  495714           1.092           0.224
  495715           1.093           0.225
  495716           1.091           0.223
  495717           1.087           0.219
  495718           1.082           0.214
  495719           1.085           0.217
  495720           1.083           0.215
  495721           1.089           0.221
  495722           1.092           0.224
  495723           1.096           0.228
  495724           1.109           0.241
  495725           1.091           0.223
  495726           1.101           0.233
  495727           1.100           0.232
  495728           1.102           0.234
  495729           1.107           0.239
  495730           1.100           0.232
  495731           1.078           0.210
  495732           1.081           0.213
  495733           1.100           0.232
  495734           1.102           0.234
  495735           1.104           0.236
  495736           1.109           0.241
  495737           1.112           0.244
  495738           1.160           0.292
  495739           1.108           0.240
  495740           1.111           0.243
  495741           1.111           0.243
  495742           1.109           0.241
  495743           1.111           0.243
  495744           1.116           0.248
  495745           1.122           0.254
  495746           1.129           0.261
  495747           1.140           0.272
  495748           1.144           0.276
  495749           1.093           0.225
  495750           1.110           0.242
  495751           1.111           0.243
  495752           1.112           0.244
  495753           1.111           0.243
  495754           1.114           0.246
  495755           1.112           0.244
  495756           1.115           0.247
  495757           1.118           0.250
  495758           1.119           0.251
  495759           1.119           0.251
  495760           1.121           0.253
  495761           1.125           0.257
  495762           1.123           0.255
  495763           1.126           0.258
  495764           1.122           0.254
  495765           1.122           0.254
  495766           1.125           0.257
  495767           1.124           0.256
  495768           1.127           0.259
  495769           1.126           0.258
  495770           1.128           0.260
  495771           1.129           0.261
  495772           1.125           0.257
  495773           1.126           0.258
  495774           1.129           0.261
  495775           1.132           0.264
  495776           1.133           0.265
  495777           1.137           0.269
  495778           1.131           0.263
  495779           1.134           0.266
  495780           1.136           0.268
  495781           1.142           0.274
  495782           1.155           0.287
  495783           1.176           0.308
  495784           1.230           0.362
  495785           1.192           0.324
  495786           1.187           0.319
  495787           1.096           0.228
  495788           1.099           0.231
  495789           1.097           0.229
  495790           1.098           0.230
  495791           1.096           0.228
  495792           1.101           0.233
  495793           1.104           0.236
  495794           1.097           0.229
  495795           1.097           0.229
  495796           1.107           0.239
  495797           1.106           0.238
  495798           1.107           0.239
  495799           1.107           0.239
  495800           1.107           0.239
  495801           1.110           0.242
  495802           1.109           0.241
  495803           1.107           0.239
  495804           1.107           0.239
  495805           1.108           0.240
  495806           1.107           0.239
  495807           1.110           0.242
  495808           1.109           0.241
  495809           1.111           0.243
  495810           1.110           0.242
  495811           1.108           0.240
  495812           1.107           0.239
  495813           1.113           0.245
  495814           1.115           0.247
  495815           1.109           0.241
  495816           1.106           0.238
  495817           1.108           0.240
  495818           1.106           0.238
  495819           1.105           0.237
  495820           1.108           0.240
  495821           1.109           0.241
  495822           1.108           0.240
  495823           1.105           0.237
  495824           1.108           0.240
  495825           1.107           0.239
  495826           1.108           0.240
  495827           1.113           0.245
  495828           1.115           0.247
  495829           1.114           0.246
  495830           1.114           0.246
  495831           1.115           0.247
  495832           1.118           0.250
  495833           1.115           0.247
  495834           1.118           0.250
  495835           1.113           0.245
  495836           1.119           0.251
  495837           1.116           0.248
  495838           1.122           0.254
  495839           1.121           0.253
  495840           1.119           0.251
  495841           1.117           0.249
  495842           1.118           0.250
  495843           1.117           0.249
  495844           1.117           0.249
  495845           1.120           0.252
  495846           1.115           0.247
  495847           1.115           0.247
  495848           1.117           0.249
  495849           1.118           0.250
  495850           1.116           0.248
  495851           1.119           0.251
  495852           1.120           0.252
  495853           1.119           0.251
  495854           1.118           0.250
  495855           1.120           0.252
  495856           1.119           0.251
  495857           1.117           0.249
  495858           1.116           0.248
  495859           1.116           0.248
  495860           1.119           0.251
  495861           1.118           0.250
  495862           1.117           0.249
  495863           1.117           0.249
  495864           1.116           0.248
  495865           1.117           0.249
  495866           1.120           0.252
  495867           1.122           0.254
  495868           1.121           0.253
  495869           1.124           0.256
  495870           1.124           0.256
  495871           1.129           0.261
  495872           1.125           0.257
  495873           1.125           0.257
  495874           1.123           0.255
  495875           1.124           0.256
  495876           1.127           0.259
  495877           1.127           0.259
  495878           1.124           0.256
  495879           1.125           0.257
  495880           1.127           0.259
  495881           1.126           0.258
  495882           1.126           0.258
  495883           1.128           0.260
  495884           1.131           0.263
  495885           1.130           0.262
  495886           1.131           0.263
  495887           1.131           0.263
  495888           1.129           0.261
  495889           1.128           0.260
  495890           1.123           0.255
  495891           1.127           0.259
  495892           1.132           0.264
  495893           1.135           0.267
  495894           1.139           0.271
  495895           1.135           0.267
  495896           1.134           0.266
  495897           1.136           0.268
  495898           1.133           0.265
  495899           1.136           0.268
  495900           1.138           0.270
  495901           1.139           0.271
  495902           1.136           0.268
  495903           1.137           0.269
  495904           1.140           0.272
  495905           1.140           0.272
  495906           1.143           0.275
  495907           1.141           0.273
  495908           1.143           0.275
  495909           1.143           0.275
  495910           1.144           0.276
  495911           1.149           0.281
  495912           1.139           0.271
  495913           1.136           0.268
  495914           1.159           0.291
  495915           1.166           0.298
  495916           1.175           0.307
  495917           1.176           0.308
  495918           1.176           0.308
  495919           1.153           0.285
  495920           1.145           0.277
  495921           1.148           0.280
  495922           1.144           0.276
  495923           1.145           0.277
  495924           1.141           0.273
  495925           1.138           0.270
  495926           1.143           0.275
  495927           1.144           0.276
  495928           1.140           0.272
  495929           1.142           0.274
  495930           1.142           0.274
  495931           1.139           0.271
  495932           1.137           0.269
  495933           1.142           0.274
  495934           1.139           0.271
  495935           1.143           0.275
  495936           1.145           0.277
  495937           1.142           0.274
  495938           1.141           0.273
  495939           1.141           0.273
  495940           1.143           0.275
  495941           1.140           0.272
  495942           1.129           0.261
  495943           1.130           0.262
  495944           1.133           0.265
  495945           1.135           0.267
  495946           1.134           0.266
  495947           1.128           0.260
  495948           1.131           0.263
  495949           1.128           0.260
  495950           1.133           0.265
  495951           1.128           0.260
  495952           1.129           0.261
  495953           1.131           0.263
  495954           1.135           0.267
  495955           1.137           0.269
  495956           1.132           0.264
  495957           1.129           0.261
  495958           1.128           0.260
  495959           1.127           0.259
  495960           1.125           0.257
  495961           1.120           0.252
  495962           1.121           0.253
  495963           1.122           0.254
  495964           1.121           0.253
  495965           1.119           0.251
  495966           1.117           0.249
  495967           1.117           0.249
  495968           1.118           0.250
  495969           1.120           0.252
  495970           1.119           0.251
  495971           1.117           0.249
  495972           1.118           0.250
  495973           1.119           0.251
  495974           1.119           0.251
  495975           1.119           0.251
  495976           1.116           0.248
  495977           1.119           0.251
  495978           1.119           0.251
  495979           1.115           0.247
  495980           1.117           0.249
  495981           1.119           0.251
  495982           1.119           0.251
  495983           1.116           0.248
  495984           1.113           0.245
  495985           1.113           0.245
  495986           1.113           0.245
  495987           1.109           0.241
