  Epoch    Dlat    DLon    DHoriz  Dheight 
  495694   0.107  -0.452   0.464  -0.161  
  495695   0.110  -0.453   0.467  -0.163  
  495696   0.109  -0.451   0.464  -0.165  
  495697   0.113  -0.456   0.469  -0.169  
  495698   0.117  -0.454   0.469  -0.172  
  495699   0.106  -0.445   0.458  -0.166  
  495700   0.104  -0.448   0.460  -0.159  
  495701   0.101  -0.444   0.456  -0.156  
  495702   0.108  -0.447   0.460  -0.159  
  495703   0.108  -0.447   0.460  -0.159  
  495704   0.112  -0.448   0.462  -0.160  
  495705   0.113  -0.451   0.465  -0.164  
  495706   0.113  -0.446   0.460  -0.157  
  495707   0.109  -0.449   0.462  -0.156  
  495708   0.109  -0.449   0.462  -0.156  
  495709   0.116  -0.457   0.471  -0.159  
  495710   0.116  -0.459   0.473  -0.166  
  495711   0.115  -0.456   0.470  -0.162  
  495712   0.109  -0.445   0.459  -0.163  
  495713   0.112  -0.449   0.463  -0.166  
  495714   0.116  -0.452   0.467  -0.167  
  495715   0.126  -0.453   0.471  -0.174  
  495716   0.133  -0.460   0.479  -0.187  
  495717   0.132  -0.460   0.479  -0.188  
  495718   0.130  -0.459   0.477  -0.180  
  495719   0.127  -0.460   0.477  -0.176  
  495720   0.126  -0.459   0.476  -0.168  
  495721   0.125  -0.471   0.487  -0.166  
  495722   0.134  -0.473   0.492  -0.164  
  495723   0.122  -0.464   0.480  -0.171  
  495724   0.108  -0.456   0.468  -0.159  
  495725   0.103  -0.453   0.464  -0.158  
  495726   0.111  -0.469   0.482  -0.167  
  495727   0.109  -0.470   0.483  -0.159  
  495728   0.117  -0.475   0.489  -0.146  
  495729   0.113  -0.482   0.495  -0.159  
  495730   0.117  -0.495   0.508  -0.171  
  495731   0.112  -0.450   0.463  -0.160  
  495732   0.112  -0.447   0.461  -0.154  
  495733   0.112  -0.462   0.475  -0.149  
  495734   0.111  -0.444   0.458  -0.153  
  495735   0.108  -0.484   0.496  -0.159  
  495736   0.099  -0.472   0.483  -0.152  
  495737   0.112  -0.488   0.500  -0.143  
  495738   0.103  -0.479   0.490  -0.135  
  495739   0.117  -0.469   0.483  -0.162  
  495740   0.113  -0.470   0.483  -0.152  
  495741   0.108  -0.467   0.479  -0.148  
  495742   0.103  -0.464   0.475  -0.145  
  495743   0.112  -0.464   0.478  -0.146  
  495744   0.109  -0.462   0.474  -0.152  
  495745   0.102  -0.462   0.473  -0.145  
  495746   0.097  -0.463   0.473  -0.137  
  495747   0.084  -0.468   0.475  -0.112  
  495748   0.053  -0.475   0.478  -0.068  
  495749   0.096  -0.459   0.469  -0.140  
  495750   0.096  -0.466   0.476  -0.142  
  495751   0.123  -0.464   0.480  -0.178  
  495752   0.119  -0.454   0.470  -0.182  
  495753   0.120  -0.454   0.470  -0.175  
  495754   0.118  -0.454   0.470  -0.173  
  495755   0.113  -0.443   0.457  -0.172  
  495756   0.110  -0.448   0.461  -0.171  
  495757   0.111  -0.455   0.468  -0.174  
  495758   0.115  -0.457   0.471  -0.185  
  495759   0.117  -0.458   0.473  -0.192  
  495760   0.105  -0.454   0.466  -0.183  
  495761   0.104  -0.456   0.468  -0.182  
  495762   0.099  -0.452   0.462  -0.173  
  495763   0.097  -0.454   0.464  -0.165  
  495764   0.108  -0.455   0.468  -0.174  
  495765   0.113  -0.460   0.474  -0.184  
  495766   0.103  -0.458   0.469  -0.174  
  495767   0.103  -0.456   0.467  -0.169  
  495768   0.105  -0.460   0.472  -0.174  
  495769   0.104  -0.460   0.472  -0.180  
  495770   0.101  -0.455   0.466  -0.177  
  495771   0.097  -0.457   0.467  -0.178  
  495772   0.102  -0.461   0.472  -0.177  
  495773   0.103  -0.463   0.475  -0.169  
  495774   0.108  -0.468   0.480  -0.175  
  495775   0.108  -0.471   0.484  -0.175  
  495776   0.103  -0.461   0.472  -0.168  
  495777   0.106  -0.463   0.475  -0.171  
  495778   0.106  -0.468   0.480  -0.176  
  495779   0.108  -0.473   0.485  -0.178  
  495780   0.105  -0.481   0.493  -0.168  
  495781   0.103  -0.480   0.491  -0.164  
  495782   0.099  -0.482   0.492  -0.158  
  495783   0.076  -0.489   0.495  -0.129  
  495784   0.065  -0.525   0.529  -0.083  
  495785   0.046  -0.504   0.506  -0.075  
  495786   0.069  -0.480   0.485  -0.103  
  495787   0.115  -0.452   0.467  -0.173  
  495788   0.121  -0.449   0.465  -0.186  
  495789   0.119  -0.449   0.464  -0.180  
  495790   0.122  -0.448   0.464  -0.186  
  495791   0.124  -0.448   0.465  -0.177  
  495792   0.133  -0.460   0.479  -0.202  
  495793   0.123  -0.457   0.473  -0.179  
  495794   0.112  -0.448   0.462  -0.163  
  495795   0.128  -0.448   0.466  -0.192  
  495796   0.106  -0.448   0.460  -0.160  
  495797   0.112  -0.457   0.470  -0.172  
  495798   0.121  -0.455   0.471  -0.182  
  495799   0.123  -0.459   0.475  -0.185  
  495800   0.128  -0.459   0.476  -0.192  
  495801   0.128  -0.461   0.478  -0.199  
  495802   0.124  -0.465   0.481  -0.192  
  495803   0.124  -0.463   0.479  -0.183  
  495804   0.124  -0.460   0.477  -0.186  
  495805   0.124  -0.456   0.473  -0.183  
  495806   0.120  -0.456   0.472  -0.176  
  495807   0.121  -0.450   0.466  -0.182  
