  Epoch    Dlat    DLon    DHoriz  Dheight 
  495694   1.615   0.541   1.704   7.963  
  495695   1.472   0.685   1.623   8.411  
  495696   1.474   0.689   1.627   8.131  
  495697   1.509   0.637   1.638   8.016  
  495698   1.517   0.687   1.666   8.227  
  495699   1.360   0.670   1.517   8.299  
  495700   1.259   0.583   1.387   8.201  
  495701   1.325   0.384   1.380   7.764  
  495702   1.424   0.125   1.430   7.467  
  495703   1.475   0.152   1.483   7.382  
  495704   1.441   0.201   1.455   7.458  
  495705   1.374   0.247   1.396   7.430  
  495706   1.362   0.425   1.427   7.693  
  495707   1.396   0.722   1.572   7.879  
  495708   1.253   0.750   1.460   8.275  
  495709   1.351   0.755   1.548   8.243  
  495710   1.509   0.698   1.663   8.372  
  495711   1.495   0.676   1.641   8.565  
  495712   1.553   0.709   1.707   8.487  
  495713   1.224   0.780   1.452   8.782  
  495714   1.254   0.827   1.502   8.644  
  495715   1.181   0.725   1.386   8.261  
  495716   1.316   0.581   1.439   7.948  
  495717   1.368   0.520   1.463   7.867  
  495718   1.533   0.541   1.626   7.643  
  495719   1.597   0.419   1.651   7.319  
  495720   1.543   0.513   1.626   7.347  
  495721   1.355   0.644   1.501   7.462  
  495722   1.198   0.682   1.379   7.711  
  495723   0.985   0.778   1.255   7.714  
  495724   0.793   1.244   1.476   8.777  
  495725   0.630   1.091   1.260   8.635  
  495726   0.706   1.065   1.278   8.781  
  495727   0.861   0.979   1.304   8.450  
  495728   1.087   1.157   1.588   8.340  
  495729   0.858   1.028   1.339   8.384  
  495730   0.695   0.905   1.141   8.197  
  495731   0.939   0.411   1.025   7.028  
  495732   1.156   0.292   1.193   6.778  
  495733   1.421   0.394   1.474   6.849  
  495734   1.579   0.494   1.655   7.062  
  495735   1.454   0.791   1.655   7.520  
  495736   1.678   0.839   1.876   7.513  
  495737   1.775   0.964   2.020   7.889  
  495738   2.264   0.839   2.415   7.158  
  495739   1.979   0.973   2.206   7.570  
  495740   1.441   1.000   1.753   8.269  
  495741   1.066   0.891   1.389   8.425  
  495742   0.879   0.988   1.322   8.691  
  495743   0.664   1.002   1.202   8.987  
  495744   0.452   1.035   1.129   9.054  
  495745   0.579   1.003   1.158   8.745  
  495746   0.629   0.977   1.162   8.417  
  495747   0.723   1.031   1.259   8.412  
  495748   0.639   1.006   1.192   8.818  
  495749   0.305   0.917   0.966   8.742  
  495750   0.511   0.893   1.029   8.448  
  495751   0.551   0.846   1.010   8.553  
  495752   0.795   0.812   1.137   8.522  
  495753   0.757   0.944   1.210   8.200  
  495754   0.789   0.885   1.186   8.158  
  495755   0.871   0.819   1.196   8.225  
  495756   0.942   0.775   1.220   8.139  
  495757   1.306   0.652   1.459   8.078  
  495758   1.351   0.632   1.491   8.091  
  495759   1.379   0.673   1.534   8.136  
  495760   1.303   0.731   1.494   8.222  
  495761   1.170   0.820   1.429   8.096  
  495762   1.198   0.792   1.436   8.031  
  495763   1.088   0.707   1.297   7.756  
  495764   0.966   0.678   1.180   7.769  
  495765   0.932   0.731   1.185   8.469  
  495766   1.073   0.805   1.342   8.799  
  495767   1.190   0.653   1.358   8.558  
  495768   1.432   0.565   1.539   8.513  
  495769   1.499   0.586   1.610   8.599  
  495770   1.495   0.624   1.620   8.457  
  495771   1.689   0.546   1.776   8.036  
  495772   1.724   0.549   1.809   7.704  
  495773   1.752   0.683   1.880   7.457  
  495774   1.803   0.634   1.911   7.595  
  495775   1.634   0.628   1.751   7.546  
  495776   1.645   0.527   1.727   7.498  
  495777   1.433   0.557   1.538   7.891  
  495778   1.240   0.640   1.396   8.164  
  495779   1.200   0.534   1.313   8.064  
  495780   1.105   0.379   1.168   8.155  
  495781   1.177   0.153   1.187   7.931  
  495782   1.183   0.127   1.189   8.292  
  495783   1.102   0.247   1.129   8.674  
  495784   1.232   0.406   1.297   9.006  
  495785   1.507   0.562   1.609   8.346  
  495786   1.254   0.748   1.460   8.697  
  495787   1.120   0.796   1.374   8.747  
  495788   1.187   0.748   1.403   8.138  
  495789   0.953   0.628   1.141   8.134  
  495790   0.886   0.701   1.129   8.244  
  495791   0.721   0.756   1.045   8.292  
  495792   0.927   0.722   1.175   7.884  
  495793   0.956   0.621   1.140   7.787  
  495794   1.076   0.660   1.262   7.358  
  495795   1.057   0.481   1.161   7.352  
  495796   0.902   0.484   1.023   7.694  
  495797   0.966   0.725   1.208   7.987  
  495798   0.863   0.685   1.101   8.085  
  495799   0.737   0.729   1.037   8.390  
  495800   0.651   0.716   0.967   8.391  
  495801   0.591   0.666   0.890   8.412  
  495802   0.392   0.600   0.717   8.343  
  495803   0.359   0.483   0.601   7.971  
  495804   0.342   0.521   0.623   7.987  
  495805   0.396   0.651   0.762   8.104  
  495806   0.404   0.664   0.778   8.055  
  495807   0.186   0.670   0.696   8.150  
  495808   0.356   0.781   0.858   8.120  
  495809   0.343   0.878   0.942   8.240  
  495810   0.375   0.851   0.930   8.053  
  495811   0.311   0.774   0.834   7.923  
  495812   0.405   0.640   0.758   7.848  
  495813   0.398   0.734   0.835   8.210  
  495814   0.436   0.809   0.919   8.421  
  495815   0.481   0.844   0.972   8.423  
  495816   0.580   0.977   1.136   8.618  
  495817   0.606   0.953   1.129   8.454  
