Epoch   Outliers
  500318           2.387
  500319           2.454
  500321           2.245
  500322           2.487
  500323           2.428
  500324           2.449
  500325           2.459
  500326           2.471
  500327           2.492
  500328           2.498
  500329           2.499
  500330           2.503
  500331           2.495
  500332           2.497
  500333           2.507
  500334           2.491
  500335           2.469
  500336           2.478
  500337           2.468
  500338           2.468
  500339           2.473
  500340           2.471
  500341           2.486
  500342           2.477
  500343           2.468
  500344           2.459
  500345           2.466
  500346           2.456
  500347           2.446
  500348           2.453
  500349           2.439
  500350           2.440
  500351           2.434
  500352           2.417
  500353           2.399
  500354           2.380
  500355           2.365
  500356           2.366
  500357           2.353
  500358           2.353
  500359           2.356
  500360           2.343
  500361           2.337
  500362           2.335
  500363           2.335
  500364           2.317
  500365           2.299
  500366           2.286
  500367           2.281
  500368           2.219
  500369           2.156
  500370           2.108
  500371           2.091
  500372           2.147
  500373           2.162
  500374           2.140
  500375           2.133
  500376           2.153
  500377           2.151
  500378           2.162
  500379           2.174
  500380           2.169
  500381           2.175
  500382           2.174
  500383           2.187
  500384           2.200
  500385           2.199
  500386           2.210
  500387           2.217
  500388           2.218
  500389           2.234
  500390           2.252
  500391           2.258
  500392           2.278
  500393           2.288
  500394           2.298
  500395           2.299
  500396           2.294
  500397           2.300
  500398           2.313
  500399           2.318
  500400           2.294
  500401           2.321
  500402           2.381
  500403           2.409
  500404           2.459
  500405           2.508
  500406           2.539
  500407           2.538
  500408           2.527
  500409           2.513
  500410           2.510
  500411           2.503
  500412           2.504
  500413           2.516
  500414           2.515
  500415           2.520
  500416           2.508
  500417           2.516
  500418           2.524
  500419           2.499
  500420           2.614
  500421           2.609
  500422           2.583
  500423           2.638
  500424           2.615
  500425           2.663
  500426           2.646
  500427           2.626
  500428           2.622
  500429           2.628
  500430           2.638
  500431           2.649
  500432           2.646
  500433           2.650
  500435           2.637
  500436           2.642
  500437           2.646
  500438           2.630
  500439           2.658
  500440           2.648
  500441           2.670
  500442           2.648
  500443           2.668
  500444           2.429
  500480           1.939
  500481           1.945
  500482           1.962
  500483           1.960
  500484           1.973
  500485           1.983
  500486           1.973
  500487           1.974
  500488           1.985
  500489           1.996
  500490           1.997
  500491           2.026
  500492           2.065
  500493           2.083
  500494           2.107
  500495           2.135
  500496           2.145
  500497           2.158
  500498           2.156
  500499           2.155
  500500           2.209
  500501           2.198
  500502           2.194
  500503           2.201
  500504           2.176
  500505           2.174
  500506           2.154
  500507           2.119
  500508           2.117
  500509           2.105
  500510           2.056
  500511           2.037
  500512           1.999
  500513           1.969
  500514           1.938
  500545           2.042
  500546           2.030
  500547           2.031
  500548           1.964
  500549           1.964
  500550           1.945
  500551           1.931
  500555           1.937
  500560           1.925
  500561           1.928
  500659           6.764
